Date,Last Price
9/17/2021,6585.9
9/16/2021,6622.59
9/15/2021,6583.62
9/14/2021,6652.97
9/13/2021,6676.93
9/10/2021,6663.77
9/9/2021,6684.72
9/8/2021,6668.89
9/7/2021,6726.07
9/6/2021,6743.5
9/3/2021,6689.99
9/2/2021,6763.08
9/1/2021,6758.69
8/31/2021,6680.18
8/30/2021,6687.3
8/27/2021,6681.92
8/26/2021,6666.03
8/25/2021,6676.48
8/24/2021,6664.31
8/23/2021,6683.1
8/20/2021,6626.11
8/19/2021,6605.89
8/18/2021,6770.11
8/17/2021,6819.84
8/16/2021,6838.77
8/13/2021,6896.04
8/12/2021,6882.47
8/11/2021,6857.99
8/10/2021,6820.21
8/9/2021,6813.18
8/6/2021,6816.96
8/5/2021,6781.19
8/4/2021,6746.23
8/3/2021,6723.81
8/2/2021,6675.9
7/30/2021,6612.76
7/29/2021,6633.77
7/28/2021,6609.31
7/27/2021,6531.92
7/26/2021,6578.6
7/23/2021,6568.82
7/22/2021,6481.59
7/21/2021,6464.48
7/20/2021,6346.85
7/19/2021,6295.97
7/16/2021,6460.08
7/15/2021,6493.36
7/14/2021,6558.38
7/13/2021,6558.47
7/12/2021,6559.25
7/9/2021,6529.42
7/8/2021,6396.73
7/7/2021,6527.72
7/6/2021,6507.48
7/5/2021,6567.54
7/2/2021,6552.86
7/1/2021,6553.82
6/30/2021,6507.83
6/29/2021,6567.43
6/28/2021,6558.02
6/25/2021,6622.87
6/24/2021,6631.15
6/23/2021,6551.07
6/22/2021,6611.5
6/21/2021,6602.54
6/18/2021,6569.16
6/17/2021,6666.26
6/16/2021,6652.65
6/15/2021,6639.52
6/14/2021,6616.35
6/11/2021,6600.66
6/10/2021,6546.49
6/9/2021,6563.45
6/8/2021,6551.01
6/7/2021,6543.56
6/4/2021,6515.66
6/3/2021,6507.92
6/2/2021,6521.52
6/1/2021,6489.4
5/31/2021,6447.17
5/28/2021,6484.11
5/27/2021,6435.71
5/26/2021,6391.6
5/25/2021,6390.27
5/24/2021,6408.49
5/21/2021,6386.41
5/20/2021,6343.58
5/19/2021,6262.55
5/18/2021,6353.67
5/17/2021,6367.35
5/14/2021,6385.14
5/13/2021,6288.33
5/12/2021,6279.35
5/11/2021,6267.39
5/10/2021,6385.99
5/7/2021,6385.51
5/6/2021,6357.09
5/5/2021,6339.47
5/4/2021,6251.75
5/3/2021,6307.9
4/30/2021,6269.48
4/29/2021,6302.57
4/28/2021,6306.98
4/27/2021,6273.76
4/26/2021,6275.52
4/23/2021,6257.94
4/22/2021,6267.28
4/21/2021,6210.55
4/20/2021,6165.11
4/19/2021,6296.69
4/16/2021,6287.07
4/15/2021,6234.14
4/14/2021,6208.58
4/13/2021,6184.1
4/12/2021,6161.68
4/9/2021,6169.41
4/8/2021,6165.72
4/7/2021,6130.66
4/6/2021,6131.34
4/1/2021,6102.96
3/31/2021,6067.23
3/30/2021,6088.04
3/29/2021,6015.51
3/26/2021,5988.81
3/25/2021,5952.41
3/24/2021,5947.29
3/23/2021,5945.3
3/22/2021,5968.48
3/19/2021,5997.96
3/18/2021,6062.79
3/17/2021,6054.82
3/16/2021,6055.43
3/15/2021,6035.97
3/12/2021,6046.55
3/11/2021,6033.76
3/10/2021,5990.55
3/9/2021,5924.97
3/8/2021,5902.99
3/5/2021,5782.65
3/4/2021,5830.65
3/3/2021,5830.06
3/2/2021,5809.73
3/1/2021,5792.79
2/26/2021,5703.22
2/25/2021,5783.89
2/24/2021,5797.98
2/23/2021,5779.84
2/22/2021,5767.44
2/19/2021,5773.55
2/18/2021,5728.33
2/17/2021,5765.84
2/16/2021,5786.53
2/15/2021,5786.25
2/12/2021,5703.67
2/11/2021,5669.82
2/10/2021,5670.8
2/9/2021,5691.54
2/8/2021,5686.03
2/5/2021,5659.26
2/4/2021,5608.54
2/3/2021,5563.05
2/2/2021,5563.11
2/1/2021,5461.68
1/29/2021,5399.21
1/28/2021,5510.52
1/27/2021,5459.62
1/26/2021,5523.52
1/25/2021,5472.36
1/22/2021,5559.57
1/21/2021,5590.79
1/20/2021,5628.44
1/19/2021,5598.61
1/18/2021,5617.27
1/15/2021,5611.69
1/14/2021,5681.14
1/13/2021,5662.67
1/12/2021,5650.97
1/11/2021,5662.43
1/8/2021,5706.88
1/7/2021,5669.85
1/6/2021,5630.6
1/5/2021,5564.6
1/4/2021,5588.96
12/31/2020,5551.41
12/30/2020,5599.41
12/29/2020,5611.79
12/28/2020,5588.38
12/24/2020,5522.01
12/23/2020,5527.59
12/22/2020,5466.86
12/21/2020,5393.34
12/18/2020,5527.84
12/17/2020,5549.46
12/16/2020,5547.68
12/15/2020,5530.31
12/14/2020,5527.84
12/11/2020,5507.55
12/10/2020,5549.65
12/9/2020,5546.82
12/8/2020,5560.67
12/7/2020,5573.38
12/4/2020,5609.15
12/3/2020,5574.36
12/2/2020,5583.01
12/1/2020,5581.64
11/30/2020,5518.55
11/27/2020,5598.18
11/26/2020,5566.79
11/25/2020,5571.29
11/24/2020,5558.42
11/23/2020,5492.15
11/20/2020,5495.89
11/19/2020,5474.66
11/18/2020,5511.45
11/17/2020,5483
11/16/2020,5471.48
11/13/2020,5380.16
11/12/2020,5362.57
11/11/2020,5445.21
11/10/2020,5418.97
11/9/2020,5336.32
11/6/2020,4960.88
11/5/2020,4983.99
11/4/2020,4922.85
11/3/2020,4805.61
11/2/2020,4691.14
10/30/2020,4594.24
10/29/2020,4569.67
10/28/2020,4571.12
10/27/2020,4730.66
10/26/2020,4816.12
10/23/2020,4909.64
10/22/2020,4851.38
10/21/2020,4853.95
10/20/2020,4929.28
10/19/2020,4942.62
10/16/2020,4935.86
10/15/2020,4837.42
10/14/2020,4941.66
10/13/2020,4947.61
10/12/2020,4979.29
10/9/2020,4946.81
10/8/2020,4911.94
10/7/2020,4882
10/6/2020,4895.46
10/5/2020,4871.87
10/2/2020,4824.88
10/1/2020,4824.04
9/30/2020,4803.44
9/29/2020,4832.07
9/28/2020,4843.27
9/25/2020,4729.66
9/24/2020,4762.62
9/23/2020,4802.26
9/22/2020,4772.84
9/21/2020,4792.04
9/18/2020,4978.18
9/17/2020,5039.5
9/16/2020,5074.42
9/15/2020,5067.93
9/14/2020,5051.88
9/11/2020,5034.14
9/10/2020,5023.93
9/9/2020,5042.98
9/8/2020,4973.52
9/7/2020,5053.72
9/4/2020,4965.07
9/3/2020,5009.52
9/2/2020,5031.74
9/1/2020,4938.1
8/31/2020,4947.22
8/28/2020,5002.94
8/27/2020,5015.97
8/26/2020,5048.43
8/25/2020,5008.27
8/24/2020,5007.89
8/21/2020,4896.33
8/20/2020,4911.24
8/19/2020,4977.23
8/18/2020,4938.06
8/17/2020,4971.94
8/14/2020,4962.93
8/13/2020,5042.38
8/12/2020,5073.31
8/11/2020,5027.99
8/10/2020,4909.51
8/7/2020,4889.52
8/6/2020,4885.13
8/5/2020,4933.34
8/4/2020,4889.52
8/3/2020,4875.93
7/31/2020,4783.69
7/30/2020,4852.94
7/29/2020,4958.74
7/28/2020,4928.94
7/27/2020,4939.62
7/24/2020,4956.43
7/23/2020,5033.76
7/22/2020,5037.12
7/21/2020,5104.28
7/20/2020,5093.18
7/17/2020,5069.42
7/16/2020,5085.28
7/15/2020,5108.98
