Date,Document ID
09/09/2021,BBLS DD XQAM8160000N
09/06/2021,BBLS DD XV83DN40000N
08/25/2021,BBLS DD X1S533T9G000N
08/17/2021,BBLS DD X1U89RLS0000N
08/12/2021,BBLS DD XN1E8O90000N
08/12/2021,BBLS DD X1KHUBJV0000N
08/11/2021,BBLS DD X15D28UK0000N
08/09/2021,BBLS DD XB8SJK00000N
08/08/2021,BBLS DD X1VD542L0000N
08/08/2021,BBLS DD X2HO3KIG000N
07/20/2021,BBLS DD X1ALVB6G000N
07/19/2021,BBLS DD XL2JDVA0000N
07/18/2021,BBLS DD XFJFSD0000N
07/13/2021,BBLS DD X12I78PSG000N
07/07/2021,BBLS DD X562O05G000N
07/01/2021,BBLS DD X1KBQ6GE0000N
06/30/2021,BBLS DD X1L0P7C0000N
06/29/2021,BBLS DD X1G7GQCG0000N
06/28/2021,BBLS DD XM2NUVPG000N
06/23/2021,BBLS DD X6V23120000N
06/22/2021,BBLS DD X1VVOL7Q0000N
06/21/2021,BBLS DD X1IIT27Q0000N
06/20/2021,BBLS DD X101I6J1G000N
06/01/2021,BBLS DD X12MURBN0000N
05/31/2021,BBLS DD X1OPI0M8G000N
05/27/2021,BBLS DD X17DJUJ80000N
05/27/2021,BBLS DD X1FM846R0000N
05/26/2021,BBLS DD X389B6PG000N
05/23/2021,BBLS DD X1GBL1DJ0000N
05/18/2021,BBLS DD XCJFDJUG000N
05/17/2021,BBLS DD XOQEBSV0000N
05/12/2021,BBLS DD XF95JTA0000N
05/10/2021,BBLS DD X1B4UMT40000N
05/09/2021,BBLS DD X4FTQDL0000N
04/25/2021,BBLS DD XBHHBG20000N
04/25/2021,BBLS DD X1DQV4200000N
04/19/2021,BBLS DD XKM0RJTG000N
04/19/2021,BBLS DD X4KOPHK0000N
04/18/2021,BBLS DD X1A69HDVG000N
04/18/2021,BBLS DD XKDR75L0000N
04/15/2021,BBLS DD XNOIO4MG000N
04/15/2021,BBLS DD X15I393G000N
04/12/2021,BBLS DD X16JICOSG000N
04/08/2021,BBLS DD XTO4SQ0000N
04/08/2021,BBLS DD X1T7RRQG000N
03/31/2021,BBLS DD X78CU9T0000N
03/30/2021,BBLS DD X5PHVA4G000N
03/30/2021,BBLS DD X1P2DQNCG000N
03/29/2021,BBLS DD X6M7SR40000N
03/29/2021,BBLS DD XD309IVG000N
03/25/2021,BBLS DD X17P4GCPG000N
03/23/2021,BBLS DD XTFR76BG000N
03/23/2021,BBLS DD XIGA9EFG000N
03/22/2021,BBLS DD XKC4HOJ0000N
03/22/2021,BBLS DD X1TMU2RTG000N
03/22/2021,BBLS DD X1M4A33LG000N
03/17/2021,BBLS DD XNOIPF1G000N
03/16/2021,BBLS DD X16OD99HG000N
03/11/2021,BBLS DD X6NEDAM0000N
03/10/2021,BBLS DD X1PKT1I1G000N
03/07/2021,BBLS DD XCNK6LLG000N
03/04/2021,BBLS DD X1M1NVIJG000N
03/01/2021,BBLS DD X1PU7OJO0000N
03/01/2021,BBLS DD X1J9F6V9G000N
