Date,Last Price
9/17/2021,4855.94
9/16/2021,4807.7
9/15/2021,4867.32
9/14/2021,4917.16
9/13/2021,4991.66
9/10/2021,5013.52
9/9/2021,4970.01
9/8/2021,4972.13
9/7/2021,4992.83
9/6/2021,4933.73
9/3/2021,4843.06
9/2/2021,4869.41
9/1/2021,4869.46
8/31/2021,4805.61
8/30/2021,4813.27
8/27/2021,4827.04
8/26/2021,4801.61
8/25/2021,4898.16
8/24/2021,4888.39
8/23/2021,4835.88
8/20/2021,4769.27
8/19/2021,4862.14
8/18/2021,4894.24
8/17/2021,4837.4
8/16/2021,4941.07
8/13/2021,4945.98
8/12/2021,4973.35
8/11/2021,5015.34
8/10/2021,5043.15
8/9/2021,4985.56
8/6/2021,4921.56
8/5/2021,4948.67
8/4/2021,4978.85
8/3/2021,4934.46
8/2/2021,4933.74
7/30/2021,4811.17
7/29/2021,4850.27
7/28/2021,4760.48
7/27/2021,4751.31
7/26/2021,4925.3
7/23/2021,5089.23
7/22/2021,5151.75
7/21/2021,5144.04
7/20/2021,5108.99
7/19/2021,5113.5
7/16/2021,5094.77
7/15/2021,5151.46
7/14/2021,5083.08
7/13/2021,5142.1
7/12/2021,5132.71
7/9/2021,5069.44
7/8/2021,5088.26
7/7/2021,5140.49
7/6/2021,5083.1
7/5/2021,5085.79
7/2/2021,5081.12
7/1/2021,5229.66
6/30/2021,5224.04
6/29/2021,5190.54
6/28/2021,5251.76
6/25/2021,5239.97
6/24/2021,5155.97
6/23/2021,5147.39
6/22/2021,5122.16
6/21/2021,5090.39
6/18/2021,5102.47
6/17/2021,5101.89
6/16/2021,5080.49
6/15/2021,5166.56
6/11/2021,5224.7
6/10/2021,5271.47
6/9/2021,5236.45
6/8/2021,5232.12
6/7/2021,5277.63
6/4/2021,5282.28
6/3/2021,5255.29
6/2/2021,5289.97
6/1/2021,5341.68
5/31/2021,5331.57
5/28/2021,5321.09
5/27/2021,5338.23
5/26/2021,5320.59
5/25/2021,5318.48
5/24/2021,5155.59
5/21/2021,5134.15
5/20/2021,5186.41
5/19/2021,5172.27
5/18/2021,5187.6
5/17/2021,5184.98
5/14/2021,5110.59
5/13/2021,4992.97
5/12/2021,5044.55
5/11/2021,5023.06
5/10/2021,4992.42
5/7/2021,4996.05
5/6/2021,5061.12
4/30/2021,5123.49
4/29/2021,5164.17
4/28/2021,5119.24
4/27/2021,5090.52
4/26/2021,5077.24
4/23/2021,5135.45
4/22/2021,5089.24
4/21/2021,5098.74
4/20/2021,5083.37
4/19/2021,5087.02
4/16/2021,4966.18
4/15/2021,4948.97
4/14/2021,4980.63
4/13/2021,4939.64
4/12/2021,4947.75
4/9/2021,5035.34
4/8/2021,5112.21
4/7/2021,5103.74
4/6/2021,5140.34
