Date,Last Price
9/17/2021,15482.82
9/16/2021,15651.75
9/15/2021,15616
9/14/2021,15722.99
9/13/2021,15701.42
9/10/2021,15609.81
9/9/2021,15623.15
9/8/2021,15610.28
9/7/2021,15843.09
9/6/2021,15932.12
9/3/2021,15781.2
9/2/2021,15840.59
9/1/2021,15824.29
8/31/2021,15835.09
8/30/2021,15887.31
8/27/2021,15851.75
8/26/2021,15793.62
8/25/2021,15860.66
8/24/2021,15905.85
8/23/2021,15852.79
8/20/2021,15808.04
8/19/2021,15765.81
8/18/2021,15965.97
8/17/2021,15921.95
8/16/2021,15925.73
8/13/2021,15977.44
8/12/2021,15937.51
8/11/2021,15826.09
8/10/2021,15770.71
8/9/2021,15745.41
8/6/2021,15761.45
8/5/2021,15744.67
8/4/2021,15692.13
8/3/2021,15555.08
8/2/2021,15568.73
7/30/2021,15544.39
7/29/2021,15640.47
7/28/2021,15570.36
7/27/2021,15519.13
7/26/2021,15618.98
7/23/2021,15669.29
7/22/2021,15514.54
7/21/2021,15422.5
7/20/2021,15216.27
7/19/2021,15133.2
7/16/2021,15540.31
7/15/2021,15629.66
7/14/2021,15788.98
7/13/2021,15789.64
7/12/2021,15790.51
7/9/2021,15687.93
7/8/2021,15420.64
7/7/2021,15692.71
7/6/2021,15511.38
7/5/2021,15661.97
7/2/2021,15650.09
7/1/2021,15603.81
6/30/2021,15531.04
6/29/2021,15690.59
6/28/2021,15554.18
6/25/2021,15607.97
6/24/2021,15589.23
6/23/2021,15456.39
6/22/2021,15636.33
6/21/2021,15603.24
6/18/2021,15448.04
6/17/2021,15727.67
6/16/2021,15710.57
6/15/2021,15729.52
6/14/2021,15673.64
6/11/2021,15693.27
6/10/2021,15571.22
6/9/2021,15581.14
6/8/2021,15640.6
6/7/2021,15677.15
6/4/2021,15692.9
6/3/2021,15632.67
6/2/2021,15602.71
6/1/2021,15567.36
5/31/2021,15421.13
5/28/2021,15519.98
5/27/2021,15406.73
5/26/2021,15450.72
5/25/2021,15465.09
5/21/2021,15437.51
5/20/2021,15370.26
5/19/2021,15113.56
5/18/2021,15386.58
5/17/2021,15396.62
5/14/2021,15416.64
5/13/2021,15199.68
5/12/2021,15150.22
5/11/2021,15119.75
5/10/2021,15400.41
5/7/2021,15399.65
5/6/2021,15196.74
5/5/2021,15170.78
5/4/2021,14856.48
5/3/2021,15236.47
4/30/2021,15135.91
4/29/2021,15154.2
4/28/2021,15292.18
4/27/2021,15249.27
4/26/2021,15296.34
4/23/2021,15279.62
4/22/2021,15320.52
4/21/2021,15195.97
4/20/2021,15129.51
4/19/2021,15368.39
4/16/2021,15459.75
4/15/2021,15255.33
4/14/2021,15209.15
4/13/2021,15234.36
