Date,Document ID
09/09/2021,BBLS DD X1Q6OCH8Q9O2
09/09/2021,BBLS DD X1Q6OCH9BJ82
09/07/2021,BBLS DD X1Q6OCGK2MO2
09/07/2021,BBLS DD X1Q6OCGNB9O2
09/07/2021,BBLS DD X1Q6OCGNDSO2
09/07/2021,BBLS DD X1Q6OCGR7N82
09/06/2021,BBLS DD X1Q6OCGDP082
09/06/2021,BBLS DD X1Q6OCGFKOO2
09/02/2021,BBLS DD X1Q6OCG0FR82
09/02/2021,BBLS DD X1Q6OCG6D0O2
09/01/2021,BBLS DD X1Q6OCFP0M82
09/01/2021,BBLS DD X1Q6OCFP9L82
09/01/2021,BBLS DD X1Q6OCFQR2O2
08/31/2021,BBLS DD X1Q6OCFF9IO2
08/31/2021,BBLS DD X1Q6OCFGUV82
08/30/2021,BBLS DD X1Q6OCF7K7O2
08/30/2021,BBLS DD X1Q6OCFEFRO2
08/29/2021,BBLS DD X1Q6OCEUA382
08/29/2021,BBLS DD X1Q6OCFVAF82
08/26/2021,BBLS DD X1Q6OCEL9AO2
08/26/2021,BBLS DD X1Q6OCELFQO2
08/25/2021,BBLS DD X1Q6OCE8S882
08/24/2021,BBLS DD X1Q6OCDU2K82
08/23/2021,BBLS DD X1Q6OCDM3FO2
08/23/2021,BBLS DD X1Q6OCDOLC82
08/23/2021,BBLS DD X1Q6OCDOOJO2
08/23/2021,BBLS DD X1Q6OCDP7S82
08/22/2021,BBLS DD X1Q6OCDI4R82
08/22/2021,BBLS DD X1Q6OCDI4T82
08/19/2021,BBLS DD X1Q6OCD6CR82
08/18/2021,BBLS DD X1Q6OCCUDE82
08/16/2021,BBLS DD X1Q6OCC9HFO2
08/16/2021,BBLS DD X1Q6OCC9VOO2
08/16/2021,BBLS DD X1Q6OCCAAH82
08/16/2021,BBLS DD X1Q6OCCBBUO2
08/16/2021,BBLS DD X1Q6OCD0R3O2
08/12/2021,BBLS DD X1Q6OCBMMAO2
08/12/2021,BBLS DD X1Q6OCBPLK82
08/11/2021,BBLS DD X1Q6OCBE1D82
08/10/2021,BBLS DD X1Q6OCB52N82
08/09/2021,BBLS DD X1Q6OC9TV282
08/09/2021,BBLS DD X1Q6OC9UE3O2
08/09/2021,BBLS DD X1Q6OC9V3C82
08/09/2021,BBLS DD X1Q6OC9V5T82
08/09/2021,BBLS DD X1Q6OCA0KRO2
08/09/2021,BBLS DD X1Q6OCA0NRO2
08/09/2021,BBLS DD X1Q6OCB46IO2
08/08/2021,BBLS DD X1Q6OC9QTI82
08/08/2021,BBLS DD X1Q6OCBNIF82
08/05/2021,BBLS DD X1Q6OC9BLQ82
08/04/2021,BBLS DD X1Q6OC91U1O2
08/04/2021,BBLS DD X1Q6OC9221O2
08/04/2021,BBLS DD X1Q6OC937K82
08/04/2021,BBLS DD X1Q6OC93JB82
08/03/2021,BBLS DD X1Q6OC8PSPO2
08/03/2021,BBLS DD X1Q6OC8UUMO2
08/02/2021,BBLS DD X1Q6OC8FEFO2
08/02/2021,BBLS DD X1Q6OC8FJK82
08/02/2021,BBLS DD X1Q6OC8FOLO2
08/02/2021,BBLS DD X1Q6OC8JN082
08/02/2021,BBLS DD X1Q6OC8RPV82
08/01/2021,BBLS DD X1Q6OC8AEAO2
07/28/2021,BBLS DD X1Q6OC7I6QO2
