Date,Document ID
09/09/2021,BBLS DD XUEGC12G1
09/09/2021,BBLS DD X8A274481
09/09/2021,BBLS DD X180B6101
09/09/2021,BBLS DD XGVVGQO01
09/08/2021,BBLS DD XFBQIT201
09/08/2021,BBLS DD X2LG6FR81
09/07/2021,BBLS DD XU8H9B4O1
09/07/2021,BBLS DD X6OLLVI81
09/07/2021,BBLS DD XAAKJ5GO1
09/06/2021,BBLS DD X91EA1KG1
09/06/2021,BBLS DD XB2HD0701
09/06/2021,BBLS DD XGLSJ2GG1
09/06/2021,BBLS DD XH94TPEG1
09/06/2021,BBLS DD X21CAEDO1
09/06/2021,BBLS DD XLT3KLR01
09/06/2021,BBLS DD XQSC25181
09/02/2021,BBLS DD X4BAJA1O1
09/02/2021,BBLS DD X6A01AOG1
09/02/2021,BBLS DD X7J8JGCG1
09/02/2021,BBLS DD XAG4A6L01
09/02/2021,BBLS DD XB29RUJ01
09/02/2021,BBLS DD X180CKM01
09/02/2021,BBLS DD XIENILQ81
09/01/2021,BBLS DD X4GPRFFG1
09/01/2021,BBLS DD X4TF6S081
09/01/2021,BBLS DD X9A0BHD01
09/01/2021,BBLS DD XBFGEFUG1
09/01/2021,BBLS DD XISJKA6O1
09/01/2021,BBLS DD XJR2RQ7G1
09/01/2021,BBLS DD XSH2FQCO1
08/31/2021,BBLS DD XU5MK24O1
08/31/2021,BBLS DD X3TPFBF01
08/31/2021,BBLS DD XCQ2D8BO1
08/31/2021,BBLS DD XJVPK7FO1
08/31/2021,BBLS DD XP1JP0L01
08/31/2021,BBLS DD X2QQ87B01
08/30/2021,BBLS DD XESJ8HD81
08/30/2021,BBLS DD XLLPEI901
08/30/2021,BBLS DD XNBUFKM81
08/30/2021,BBLS DD XRLP3MF01
08/29/2021,BBLS DD X3OHDDPO1
08/29/2021,BBLS DD XCNPSQAO1
08/29/2021,BBLS DD X237FB8O1
08/29/2021,BBLS DD XMQRUTU81
08/29/2021,BBLS DD XQF92IHO1
08/29/2021,BBLS DD X2SNOA801
08/26/2021,BBLS DD X4LA3K001
08/26/2021,BBLS DD XAG1RE681
08/26/2021,BBLS DD XGGEA7TO1
08/25/2021,BBLS DD XVQ7VQ6G1
08/25/2021,BBLS DD X8J2AVIO1
08/25/2021,BBLS DD XTU70VG1
08/25/2021,BBLS DD XBIOHEAO1
08/25/2021,BBLS DD XD9DRN001
08/25/2021,BBLS DD XDRNFBOO1
08/25/2021,BBLS DD XMM45T101
08/25/2021,BBLS DD XNJUNH2O1
08/23/2021,BBLS DD X3ED5QD01
08/23/2021,BBLS DD X4V5HLJ01
08/23/2021,BBLS DD X8NIDI2O1
08/23/2021,BBLS DD XBMPTIBO1
08/23/2021,BBLS DD XJ77L34G1
08/23/2021,BBLS DD XK4NCAN81
08/23/2021,BBLS DD XP34JO7G1
08/22/2021,BBLS DD XEP2M3I01
08/22/2021,BBLS DD XNS4CS7O1
08/19/2021,BBLS DD XUVLOEBG1
08/19/2021,BBLS DD XVJLH6IO1
08/19/2021,BBLS DD XDIJ541O1
08/19/2021,BBLS DD XKISHFN81
08/19/2021,BBLS DD XQH3LL781
08/18/2021,BBLS DD X3QVS36G1
08/18/2021,BBLS DD XQT6HRL01
08/18/2021,BBLS DD XSRKSS1G1
08/17/2021,BBLS DD XCCO29O1
08/17/2021,BBLS DD X58KR4MO1
08/17/2021,BBLS DD XCHB2FLO1
08/16/2021,BBLS DD XVC46DBO1
08/16/2021,BBLS DD XH9CGT981
08/16/2021,BBLS DD XKDLE0781
08/16/2021,BBLS DD XNA6T1U81
08/15/2021,BBLS DD XUPB6NO1
08/12/2021,BBLS DD XTJTL5KG1
08/12/2021,BBLS DD X4S301N01
08/10/2021,BBLS DD XA9LGRR81
08/10/2021,BBLS DD XE28USRO1
08/10/2021,BBLS DD XE6O74301
08/09/2021,BBLS DD X5AHTROG1
08/09/2021,BBLS DD XBMMBN1G1
08/08/2021,BBLS DD XDHCR5GG1
08/08/2021,BBLS DD X1G51NP81
08/08/2021,BBLS DD XRRT8GPG1
08/05/2021,BBLS DD X3LI76OO1
08/05/2021,BBLS DD XO59PMG1
08/05/2021,BBLS DD XCOPVVJO1
08/05/2021,BBLS DD XJFCHT0G1
08/05/2021,BBLS DD XPLFBPK81
08/04/2021,BBLS DD X4K20JPG1
08/04/2021,BBLS DD X9LAPSIO1
08/04/2021,BBLS DD XJU9J5P01
08/04/2021,BBLS DD XM8KBUQ81
08/03/2021,BBLS DD X4G1NN901
08/03/2021,BBLS DD XAPL437O1
08/02/2021,BBLS DD X77831J81
08/02/2021,BBLS DD XN8IFCA01
08/01/2021,BBLS DD XMKMLQI81
08/01/2021,BBLS DD XT13EQNG1
07/29/2021,BBLS DD XTKGJ0K81
07/29/2021,BBLS DD XV33FTH81
07/29/2021,BBLS DD X4CUBK381
07/29/2021,BBLS DD X553UJUG1
07/29/2021,BBLS DD X6KUIAK01
07/29/2021,BBLS DD X1PMTH481
07/29/2021,BBLS DD XMUC40U01
07/29/2021,BBLS DD XNG022DG1
07/29/2021,BBLS DD XPKA5HI81
07/29/2021,BBLS DD XQ38L8S01
07/29/2021,BBLS DD XRIIHDVG1
07/28/2021,BBLS DD XTP68EMO1
07/28/2021,BBLS DD XU585QOO1
07/28/2021,BBLS DD XVKMOB0O1
07/28/2021,BBLS DD X4OP5OAO1
07/28/2021,BBLS DD XB5CL3OG1
07/28/2021,BBLS DD X1HCLDOG1
07/28/2021,BBLS DD XGKDQTN81
07/28/2021,BBLS DD X2EI38MO1
07/28/2021,BBLS DD XPM8CM001
07/27/2021,BBLS DD XUDVM0I01
07/27/2021,BBLS DD XJFFUUE01
07/27/2021,BBLS DD X26M6DK01
07/27/2021,BBLS DD XQEEKK5G1
07/26/2021,BBLS DD XDER1E001
07/26/2021,BBLS DD XO2TEMD81
07/26/2021,BBLS DD X2I5RV381
07/26/2021,BBLS DD XR81CE8G1
07/25/2021,BBLS DD X33CNFG01
07/25/2021,BBLS DD XKUOFO8O1
07/25/2021,BBLS DD XSDTR13O1
07/22/2021,BBLS DD XUJ471M01
07/22/2021,BBLS DD XMUCEFO1
07/22/2021,BBLS DD XUV3PV01
07/21/2021,BBLS DD X98GNGIO1
07/21/2021,BBLS DD XM4FLQ7O1
07/19/2021,BBLS DD X5RV1F701
07/15/2021,BBLS DD XFQBAPBO1
