Date,Last Price
9/17/2021,463.43
9/16/2021,466.73
9/15/2021,464.32
9/14/2021,468.98
9/13/2021,468.59
9/10/2021,467.05
9/9/2021,468.5
9/8/2021,468.42
9/7/2021,473.24
9/6/2021,474.76
9/3/2021,470.97
9/2/2021,474.18
9/1/2021,473.41
8/31/2021,470.02
8/30/2021,470.92
8/27/2021,470.29
8/26/2021,468.29
8/25/2021,469.86
8/24/2021,469.46
8/23/2021,469.01
8/20/2021,465.76
8/19/2021,464.15
8/18/2021,470.98
8/17/2021,470.33
8/16/2021,471.24
8/13/2021,473.9
8/12/2021,473.06
8/11/2021,471.46
8/10/2021,469.66
8/9/2021,468.23
8/6/2021,467.89
8/5/2021,466.64
8/4/2021,464.51
8/3/2021,461.47
8/2/2021,460.87
7/30/2021,458.09
7/29/2021,460.57
7/28/2021,458.7
7/27/2021,454.93
7/26/2021,458.64
7/23/2021,458.9
7/22/2021,453.63
7/21/2021,449.98
7/20/2021,442.34
7/19/2021,439.69
7/16/2021,450.46
7/15/2021,452.39
7/14/2021,456.85
7/13/2021,456.88
7/12/2021,456.96
7/9/2021,454.09
7/8/2021,446.88
7/7/2021,455.62
7/6/2021,452.83
7/5/2021,456.02
7/2/2021,455.17
7/1/2021,454.49
6/30/2021,451.96
6/29/2021,456.25
6/28/2021,454.4
6/25/2021,457.57
6/24/2021,457.17
6/23/2021,451.71
6/22/2021,456.12
6/21/2021,455.02
6/18/2021,452.32
6/17/2021,459.8
6/16/2021,459.66
6/15/2021,459.03
6/14/2021,458.6
6/11/2021,457.61
6/10/2021,454.55
6/9/2021,455.04
6/8/2021,454.9
6/7/2021,454.95
6/4/2021,453.49
6/3/2021,452.34
6/2/2021,452.8
6/1/2021,451.71
5/31/2021,448.31
5/28/2021,450.99
5/27/2021,447.96
5/26/2021,447.01
5/25/2021,447.43
5/24/2021,446.87
5/21/2021,445.96
5/20/2021,443.31
5/19/2021,437.62
5/18/2021,444.38
5/17/2021,443.95
5/14/2021,444.69
5/13/2021,438.28
5/12/2021,437.96
5/11/2021,438.17
5/10/2021,446.25
5/7/2021,446.86
5/6/2021,443.16
5/5/2021,443.39
5/4/2021,435.23
5/3/2021,442.9
4/30/2021,440.1
4/29/2021,442
4/28/2021,443.91
4/27/2021,443.25
4/26/2021,443.79
4/23/2021,442.42
4/22/2021,442.53
4/21/2021,438.35
4/20/2021,435.48
4/19/2021,443.61
4/16/2021,444.38
4/15/2021,440.21
4/14/2021,438.97
4/13/2021,438.26
4/12/2021,437.05
4/9/2021,438.61
4/8/2021,438.49
4/7/2021,436.71
4/6/2021,437.59
4/1/2021,435.38
3/31/2021,432.1
3/30/2021,432.93
3/29/2021,428.78
3/26/2021,427.79
3/25/2021,423.82
3/24/2021,424.1
3/23/2021,423.75
3/22/2021,424.31
3/19/2021,424.55
3/18/2021,427.85
3/17/2021,425.99
3/16/2021,426.6
3/15/2021,424.37
3/12/2021,424.56
3/11/2021,425.56
3/10/2021,422.6
3/9/2021,419.96
3/8/2021,417.35
3/5/2021,407.75
3/4/2021,411.49
3/3/2021,412.76
3/2/2021,412.62
3/1/2021,412.76
2/26/2021,405.7
2/25/2021,410.82
2/24/2021,411.83
2/23/2021,410.26
2/22/2021,411.73
2/19/2021,413.9
2/18/2021,410.4
2/17/2021,413.25
2/16/2021,416.59
2/15/2021,417.14
2/12/2021,413.28
2/11/2021,411.22
2/10/2021,408.92
2/9/2021,410.28
2/8/2021,411.29
2/5/2021,409.92
2/4/2021,408.46
2/3/2021,405.31
2/2/2021,403.14
2/1/2021,397.02
1/29/2021,391.8
1/28/2021,398.74
1/27/2021,396.48
1/26/2021,402.31
1/25/2021,398.74
1/22/2021,404.17
1/21/2021,406.65
1/20/2021,406.93
1/19/2021,403.85
1/18/2021,404.72
1/15/2021,403.79
1/14/2021,408.77
1/13/2021,406.46
1/12/2021,405.65
1/11/2021,405.89
1/8/2021,408.88
1/7/2021,406.24
1/6/2021,404.16
1/5/2021,398.56
1/4/2021,400.14
12/31/2020,397.56
12/30/2020,399.59
12/29/2020,400.71
12/28/2020,399.73
12/24/2020,396.07
12/23/2020,395.67
12/22/2020,391.44
12/21/2020,386.08
12/18/2020,395.68
12/17/2020,396.68
12/16/2020,395.18
12/15/2020,392.77
12/14/2020,390.84
12/11/2020,388.9
12/10/2020,392.37
12/9/2020,393.22
12/8/2020,393
12/7/2020,393.11
12/4/2020,394.2
12/3/2020,391.51
12/2/2020,391.98
12/1/2020,392.72
11/30/2020,389.72
11/27/2020,393.49
11/26/2020,390.82
11/25/2020,390.98
11/24/2020,390.42
11/23/2020,385.87
11/20/2020,386.41
11/19/2020,384.44
11/18/2020,387.17
11/17/2020,385.43
11/16/2020,385.59
11/13/2020,381.17
11/12/2020,380.21
11/11/2020,383.61
11/10/2020,380.78
11/9/2020,376.97
11/6/2020,358.26
11/5/2020,359.79
11/4/2020,354.31
11/3/2020,347.59
11/2/2020,339.42
10/30/2020,333.3
10/29/2020,333.02
10/28/2020,333.19
10/27/2020,344.54
10/26/2020,348.59
10/23/2020,357.23
10/22/2020,354.44
10/21/2020,355.08
10/20/2020,360.41
10/19/2020,361.67
10/16/2020,361.94
10/15/2020,356.92
10/14/2020,364.83
10/13/2020,364.66
10/12/2020,367.03
10/9/2020,364.38
10/8/2020,362.76
10/7/2020,359.9
10/6/2020,359.87
10/5/2020,358.35
10/2/2020,354.62
10/1/2020,354.73
9/30/2020,353.77
9/29/2020,354.88
9/28/2020,356.19
9/25/2020,347.41
9/24/2020,349.39
9/23/2020,351.59
9/22/2020,350.06
9/21/2020,349.42
9/18/2020,362.47
9/17/2020,365.43
9/16/2020,367.54
9/15/2020,366.22
9/14/2020,364.62
9/11/2020,364.14
9/10/2020,364.14
9/9/2020,365
9/8/2020,358.81
9/7/2020,363.81
9/4/2020,357.76
9/3/2020,362.1
9/2/2020,366.68
9/1/2020,360.84
8/31/2020,360.58
8/28/2020,364.32
8/27/2020,365.67
8/26/2020,368.63
8/25/2020,365.21
8/24/2020,365.3
8/21/2020,358.14
8/20/2020,358.98
8/19/2020,363.37
8/18/2020,361.08
8/17/2020,362.96
8/14/2020,362.35
8/13/2020,366.73
8/12/2020,368.54
8/11/2020,365
8/10/2020,357.71
8/7/2020,357.12
8/6/2020,355.7
8/5/2020,358.56
8/4/2020,356.27
8/3/2020,356.09
7/31/2020,348.72
7/30/2020,351.78
7/29/2020,361.05
7/28/2020,361.04
7/27/2020,360.76
7/24/2020,361.68
7/23/2020,368.48
7/22/2020,368.15
7/21/2020,371.04
7/20/2020,369.41
7/17/2020,366.27
7/16/2020,366.5
7/15/2020,367.46
7/14/2020,361.79
7/13/2020,364.97
7/10/2020,359.87
7/9/2020,356.39
7/8/2020,359.33
7/7/2020,362.64
7/6/2020,365.23
7/3/2020,359.18
7/2/2020,361.42
7/1/2020,352.61
6/30/2020,352.77
6/29/2020,352.22
6/26/2020,349.64
6/25/2020,351.06
6/24/2020,348.25
6/23/2020,358.98
6/22/2020,353.42
6/19/2020,355.85
6/18/2020,354.77
6/17/2020,356.84
6/16/2020,354.8
6/15/2020,344.16
6/12/2020,345.09
6/11/2020,343.91
6/10/2020,359.25
6/9/2020,362.06
6/8/2020,367
6/5/2020,368.86
6/4/2020,358.52
6/3/2020,359.14
6/2/2020,348.44
6/1/2020,340.66
5/29/2020,337.35
5/28/2020,341.8
5/27/2020,336.72
5/26/2020,333.23
5/25/2020,328.99
5/22/2020,322.2
5/21/2020,321.11
5/20/2020,324.57
5/19/2020,320.44
5/18/2020,322.77
5/15/2020,308.49
5/14/2020,307.14
5/13/2020,313.17
5/12/2020,320.18
5/11/2020,319.91
5/8/2020,322.38
5/7/2020,318.8
5/6/2020,314.52
5/5/2020,317.16
5/4/2020,310.31
5/1/2020,322.19
4/30/2020,322.19
4/29/2020,328.52
4/28/2020,321.26
4/27/2020,316.55
4/24/2020,309.31
4/23/2020,313.38
4/22/2020,310.44
4/21/2020,305.48
4/20/2020,316.45
4/17/2020,314.95
4/16/2020,306.69
4/15/2020,306.01
4/14/2020,317.67
4/9/2020,315.99
4/8/2020,310.58
4/7/2020,310.54
4/6/2020,303.67
4/3/2020,290.42
4/2/2020,293.75
4/1/2020,292.42
3/31/2020,303.18
3/30/2020,299.48
3/27/2020,297.02
3/26/2020,308.87
3/25/2020,302.89
3/24/2020,294.49
3/23/2020,271.19
3/20/2020,278.85
3/19/2020,268.84
3/18/2020,261.53
3/17/2020,274.05
3/16/2020,267.72
3/13/2020,283.95
3/12/2020,279.52
3/11/2020,318.92
3/10/2020,320.12
3/9/2020,325.63
3/6/2020,354.03
3/5/2020,367.63
3/4/2020,373.95
3/3/2020,369.49
3/2/2020,365.44
2/28/2020,365.18
2/27/2020,378.41
2/26/2020,391.57
2/25/2020,390.85
2/24/2020,398.51
2/21/2020,414.74
2/20/2020,417.28
2/19/2020,421.34
2/18/2020,417.97
2/17/2020,419.88
2/14/2020,418.59
2/13/2020,418.7
2/12/2020,418.99
2/11/2020,416.01
2/10/2020,412.26
2/7/2020,412.62
2/6/2020,413.7
2/5/2020,410.83
2/4/2020,405.71
2/3/2020,398.99
1/31/2020,396.65
1/30/2020,401.48
1/29/2020,406.15
1/28/2020,404.41
1/27/2020,400
1/24/2020,410.04
1/23/2020,405.92
1/22/2020,408.98
1/21/2020,410.41
1/20/2020,411.74
1/17/2020,412.09
1/16/2020,408.81
1/15/2020,407.98
1/14/2020,408.58
1/13/2020,408.24
1/10/2020,408.98
1/9/2020,409.28
1/8/2020,407.08
1/7/2020,405.78
1/6/2020,404.58
1/3/2020,406.85
1/2/2020,408.85
12/31/2019,403.94
12/30/2019,404.55
12/27/2019,407.9
12/24/2019,407.35
12/23/2019,407.3
12/20/2019,407.33
12/19/2019,404.05
12/18/2019,403.56
12/17/2019,404.25
12/16/2019,406.05
12/13/2019,401.62
