Date,Last Price
9/17/2021,24920.76
9/16/2021,24667.85
9/15/2021,25033.21
9/14/2021,25502.23
9/13/2021,25813.81
9/10/2021,26205.91
9/9/2021,25716
9/8/2021,26320.93
9/7/2021,26353.63
9/6/2021,26163.63
9/3/2021,25901.99
9/2/2021,26090.43
9/1/2021,26028.29
8/31/2021,25878.99
8/30/2021,25539.54
8/27/2021,25407.89
8/26/2021,25415.69
8/25/2021,25693.95
8/24/2021,25727.92
8/23/2021,25109.59
8/20/2021,24849.72
8/19/2021,25316.33
8/18/2021,25867.01
8/17/2021,25745.87
8/16/2021,26181.46
8/13/2021,26391.62
8/12/2021,26517.82
8/11/2021,26660.16
8/10/2021,26605.62
8/9/2021,26283.4
8/6/2021,26179.4
8/5/2021,26204.69
8/4/2021,26426.55
8/3/2021,26194.82
8/2/2021,26235.8
7/30/2021,25961.03
7/29/2021,26315.32
7/28/2021,25473.88
7/27/2021,25086.43
7/26/2021,26192.32
7/23/2021,27321.98
7/22/2021,27723.84
7/21/2021,27224.58
7/20/2021,27259.25
7/19/2021,27489.78
7/16/2021,28004.68
7/15/2021,27996.27
7/14/2021,27787.46
7/13/2021,27963.41
7/12/2021,27515.24
7/9/2021,27344.54
7/8/2021,27153.13
7/7/2021,27960.62
7/6/2021,28072.86
7/5/2021,28143.5
7/2/2021,28310.42
6/30/2021,28827.95
6/29/2021,28994.1
6/28/2021,29268.3
6/25/2021,29288.22
6/24/2021,28882.46
6/23/2021,28817.07
6/22/2021,28309.76
6/21/2021,28489
6/18/2021,28801.27
6/17/2021,28558.59
6/16/2021,28436.84
6/15/2021,28638.53
6/11/2021,28842.13
6/10/2021,28738.88
6/9/2021,28742.63
6/8/2021,28781.38
6/7/2021,28787.28
6/4/2021,28918.1
6/3/2021,28966.03
6/2/2021,29297.62
6/1/2021,29468
5/31/2021,29151.8
5/28/2021,29124.41
5/27/2021,29113.2
5/26/2021,29166.01
5/25/2021,28910.86
5/24/2021,28412.26
5/21/2021,28458.44
5/20/2021,28450.29
5/18/2021,28593.81
5/17/2021,28194.09
5/14/2021,28027.57
5/13/2021,27718.67
5/12/2021,28231.04
5/11/2021,28013.81
5/10/2021,28595.66
5/7/2021,28610.65
5/6/2021,28637.46
5/5/2021,28417.98
5/4/2021,28557.14
5/3/2021,28357.54
4/30/2021,28724.88
4/29/2021,29303.26
4/28/2021,29071.34
4/27/2021,28941.54
4/26/2021,28952.83
4/23/2021,29078.75
4/22/2021,28755.34
4/21/2021,28621.92
4/20/2021,29135.73
4/19/2021,29106.15
4/16/2021,28969.71
4/15/2021,28793.14
4/14/2021,28900.83
4/13/2021,28497.25
4/12/2021,28453.28
4/9/2021,28698.8
4/8/2021,29008.07
4/7/2021,28674.8
4/1/2021,28938.74
3/31/2021,28378.35
3/30/2021,28577.5
3/29/2021,28338.3
3/26/2021,28336.43
3/25/2021,27899.61
3/24/2021,27918.14
3/23/2021,28497.38
3/22/2021,28885.34
3/19/2021,28990.94
3/18/2021,29405.72
3/17/2021,29034.12
3/16/2021,29027.69
3/15/2021,28833.76
3/12/2021,28739.72
3/11/2021,29385.61
3/10/2021,28907.52
