Date,Document ID
08/24/2021,BBLS DD X631D88O000000
08/08/2021,BBLS DD XFKTFKHO000000
08/04/2021,BBLS DD XFIIMDO4000000
08/03/2021,BBLS DD XAI70HUG000000
07/27/2021,BBLS DD X7A08IGK0000OD
07/22/2021,BBLS DD X43N3IBC000000
07/20/2021,BBLS DD X1DM7LVC000000
06/28/2021,BBLS DD XCVJ2LE0000000
06/22/2021,BBLS DD X1M430G0G20D
06/17/2021,BBLS DD X4ID4HJ0000000
06/15/2021,BBLS DD XD82H3O8000000
06/14/2021,BBLS DD X1UP5B74000000
06/10/2021,BBLS DD XA1JKAKO000000
06/10/2021,BBLS DD XAMUQ0UO000000
06/09/2021,BBLS DD X1PSNMSO000000
06/08/2021,BBLS DD X2OOLSJO000000
05/26/2021,BBLS DD XHNB0GS000000
05/25/2021,BBLS DD XC15K3SC000000
05/23/2021,BBLS DD X9LF4A0K000000
05/11/2021,BBLS DD X2KEAC38000000
05/04/2021,BBLS DD XDN6T3UO000000
04/28/2021,BBLS DD X7P3U72G000000
04/27/2021,BBLS DD X984REG8000000
04/23/2021,BBLS DD X2BHAOFC000000
04/21/2021,BBLS DD XELKSKOS000000
04/18/2021,BBLS DD XD44MDOK000000
04/14/2021,BBLS DD X8VVD1CG000000
04/14/2021,BBLS DD XADU25BS000000
04/14/2021,BBLS DD X4OCU52S000000
04/05/2021,BBLS DD X3DO2020S220D
03/24/2021,BBLS DD X4G3KL88000000
02/24/2021,BBLS DD XBJUAJ0S000000
02/23/2021,BBLS DD X4JE31LG000000
02/22/2021,BBLS DD XEIK11KS000000
02/18/2021,BBLS DD X94HJTBO000000
02/09/2021,BBLS DD X4R1RQ1C000000
01/28/2021,BBLS DD XEGTED2C000000
01/28/2021,BBLS DD X4I6P490000000
01/03/2021,BBLS DD XDLHIBUC000000
11/30/2020,BBLS DD XBID77JK000000
11/11/2020,BBLS DD XDUCFIPK000000
10/04/2020,BBLS DD X1M42H84E20D
09/30/2020,BBLS DD XBPCJ7RK000000
09/28/2020,BBLS DD X774BJQS000000
07/27/2020,BBLS DD X4K83JRK000000
07/20/2020,BBLS DD XE84TNKC000000
07/16/2020,BBLS DD XAM2FOF4000000
07/16/2020,BBLS DD X2EM3R78000000
06/15/2020,BBLS DD XCABLA0S000000
06/10/2020,BBLS DD X58V7SNG000000
05/26/2020,BBLS DD X1M430OS420D
04/27/2020,BBLS DD X1M430OC420D
04/27/2020,BBLS DD X1M430OC620D
04/08/2020,BBLS DD X1M42H08E20D
03/19/2020,BBLS DD XTO4NMO000000
03/03/2020,BBLS DD X1ARU6S000000
03/03/2020,BBLS DD X5CBQ9KK000000
02/26/2020,BBLS DD XC9JVSJC000000
02/12/2020,BBLS DD XC352BBS000000
02/11/2020,BBLS DD X72EON3C000000
02/10/2020,BBLS DD XDICGVO0000000
01/29/2020,BBLS DD X4214I38000000
01/14/2020,BBLS DD XC65J8SK000000
01/13/2020,BBLS DD XCECFTUO000000
12/18/2019,BBLS DD XBH125BS000000
12/16/2019,BBLS DD XC0381RK000000
12/04/2019,BBLS DD XD09L73C000000
11/25/2019,BBLS DD X1M42HO0220D
11/25/2019,BBLS DD X2SDDKS4000000
10/20/2019,BBLS DD X6DV1780000000
09/27/2019,BBLS DD XF6709D4000000
09/24/2019,BBLS DD XBF9GMO0000000
09/24/2019,BBLS DD X4ITFQOS000000
09/22/2019,BBLS DD X1M42I88E20D
09/02/2019,BBLS DD X9366S3S000000
08/08/2019,BBLS DD X1M42I0O620D
07/29/2019,BBLS DD XENFCITS000000
07/24/2019,BBLS DD XCC030MG000000
07/24/2019,BBLS DD X4TQBD18
07/23/2019,BBLS DD XF82G9BO000000
07/15/2019,BBLS DD XEPLRFR8000000
07/15/2019,BBLS DD XEVR91RO000000
07/15/2019,BBLS DD XFQESKBO000000
07/10/2019,BBLS DD XF8C1OAG000000
