Date,Last Price
9/17/2021,15361.18
9/16/2021,15515.91
9/15/2021,15503.53
9/14/2021,15382.9
9/13/2021,15434.5
9/10/2021,15440.75
9/9/2021,15561.05
9/8/2021,15620.85
9/7/2021,15675.76
9/3/2021,15652.86
9/2/2021,15604.25
9/1/2021,15611.57
8/31/2021,15582.51
8/30/2021,15605.09
8/27/2021,15432.95
8/26/2021,15278.52
8/25/2021,15368.92
8/24/2021,15357.68
8/23/2021,15312.82
8/20/2021,15092.57
8/19/2021,14933.94
8/18/2021,14857.92
8/17/2021,15002.83
8/16/2021,15140.77
8/13/2021,15136.68
8/12/2021,15088.98
8/11/2021,15027.76
8/10/2021,15053.58
8/9/2021,15133.11
8/6/2021,15109.36
8/5/2021,15181.64
8/4/2021,15083.39
8/3/2021,15061.42
8/2/2021,14963.62
7/30/2021,14959.9
7/29/2021,15048.36
7/28/2021,15018.1
7/27/2021,14956.97
7/26/2021,15125.95
7/23/2021,15111.79
7/22/2021,14940.17
7/21/2021,14842.63
7/20/2021,14728.21
7/19/2021,14549.09
7/16/2021,14681.38
7/15/2021,14794.69
7/14/2021,14900.44
7/13/2021,14874.54
7/12/2021,14877.89
7/9/2021,14826.09
7/8/2021,14722.14
7/7/2021,14810.54
7/6/2021,14786.36
7/2/2021,14727.63
7/1/2021,14560.05
6/30/2021,14554.8
6/29/2021,14572.75
6/28/2021,14524.98
6/25/2021,14345.18
6/24/2021,14365.96
6/23/2021,14274.24
6/22/2021,14270.42
6/21/2021,14137.23
6/18/2021,14049.58
6/17/2021,14163.81
6/16/2021,13983.01
6/15/2021,14030.41
6/14/2021,14128.2
6/11/2021,13998.3
6/10/2021,13960.35
6/9/2021,13814.94
6/8/2021,13810.86
6/7/2021,13802.89
6/4/2021,13770.77
6/3/2021,13529.68
6/2/2021,13675.79
6/1/2021,13654.59
5/28/2021,13686.51
5/27/2021,13657.85
5/26/2021,13702.74
5/25/2021,13657.73
5/24/2021,13641.75
5/21/2021,13411.74
5/20/2021,13494.09
5/19/2021,13237.91
5/18/2021,13217.68
5/17/2021,13312.91
5/14/2021,13393.12
5/13/2021,13109.15
5/12/2021,13001.63
5/11/2021,13351.27
5/10/2021,13359.08
5/7/2021,13719.63
5/6/2021,13613.73
5/5/2021,13503.37
5/4/2021,13544.67
5/3/2021,13799.72
4/30/2021,13860.76
4/29/2021,13970.21
4/28/2021,13901.62
4/27/2021,13960.28
4/26/2021,14026.16
4/23/2021,13941.44
4/22/2021,13762.36
4/21/2021,13935.15
4/20/2021,13809.3
4/19/2021,13907.67
4/16/2021,14041.91
4/15/2021,14026.19
4/14/2021,13803.91
4/13/2021,13986.49
4/12/2021,13819.35
4/9/2021,13845.05
4/8/2021,13758.5
4/7/2021,13616.7
4/6/2021,13578.46
4/5/2021,13598.16
4/1/2021,13329.51
3/31/2021,13091.44
3/30/2021,12896.53
3/29/2021,12965.74
3/26/2021,12979.12
3/25/2021,12780.51
3/24/2021,12798.88
3/23/2021,13017.79
3/22/2021,13086.51
3/19/2021,12866.99
3/18/2021,12789.14
3/17/2021,13202.38
3/16/2021,13152.28
3/15/2021,13082.54
3/12/2021,12937.29
3/11/2021,13052.9
3/10/2021,12752.07
3/9/2021,12794.49
3/8/2021,12299.08
3/5/2021,12668.51
3/4/2021,12464
3/3/2021,12683.33
3/2/2021,13059.95
3/1/2021,13282.95
2/26/2021,12909.44
2/25/2021,12828.31
2/24/2021,13302.19
2/23/2021,13194.71
2/22/2021,13223.74
2/19/2021,13580.78
2/18/2021,13637.51
2/17/2021,13699.71
2/16/2021,13773.77
2/12/2021,13807.7
2/11/2021,13734.35
2/10/2021,13655.27
2/9/2021,13687.08
2/8/2021,13695.02
2/5/2021,13603.96
2/4/2021,13560.89
2/3/2021,13402.37
2/2/2021,13456.12
2/1/2021,13248.9
1/29/2021,12925.38
1/28/2021,13201.53
1/27/2021,13112.65
1/26/2021,13490.19
1/25/2021,13483.29
1/22/2021,13366.4
1/21/2021,13404.99
1/20/2021,13296.45
1/19/2021,12996.54
1/15/2021,12803.93
1/14/2021,12898.69
1/13/2021,12973.63
1/12/2021,12892.09
1/11/2021,12902.49
1/8/2021,13105.2
1/7/2021,12939.57
1/6/2021,12623.35
1/5/2021,12802.38
1/4/2021,12694.66
12/31/2020,12888.28
12/30/2020,12845.36
12/29/2020,12843.49
12/28/2020,12838.86
12/24/2020,12711.01
12/23/2020,12653.14
12/22/2020,12717.56
12/21/2020,12690.26
12/18/2020,12738.18
12/17/2020,12752.06
12/16/2020,12668.16
12/15/2020,12595.92
12/14/2020,12462.21
12/11/2020,12375.41
12/10/2020,12401.74
12/9/2020,12364.64
12/8/2020,12635.72
12/7/2020,12596.47
12/4/2020,12528.48
12/3/2020,12467.13
12/2/2020,12456.41
12/1/2020,12455.33
11/30/2020,12268.32
11/27/2020,12258.21
11/25/2020,12152.22
11/24/2020,12079.81
11/23/2020,11905.94
11/20/2020,11906.44
11/19/2020,11985.43
11/18/2020,11894.71
11/17/2020,11977.49
11/16/2020,12013.38
11/13/2020,11937.84
11/12/2020,11827.14
11/11/2020,11892.93
11/10/2020,11624.29
11/9/2020,11830.39
11/6/2020,12091.35
11/5/2020,12078.07
11/4/2020,11777.02
11/3/2020,11279.91
11/2/2020,11084.76
10/30/2020,11052.95
10/29/2020,11350.74
10/28/2020,11142.76
10/27/2020,11598.95
