Date,Last Price
9/17/2021,30500.05
9/16/2021,30323.34
9/15/2021,30511.71
9/14/2021,30670.1
9/13/2021,30447.37
9/10/2021,30381.84
9/9/2021,30008.19
9/8/2021,30181.21
9/7/2021,29916.14
9/6/2021,29659.89
9/3/2021,29128.11
9/2/2021,28543.51
9/1/2021,28451.02
8/31/2021,28089.54
8/30/2021,27789.29
8/27/2021,27641.14
8/26/2021,27742.29
8/25/2021,27724.8
8/24/2021,27732.1
8/23/2021,27494.24
8/20/2021,27013.25
8/19/2021,27281.17
8/18/2021,27585.91
8/17/2021,27424.47
8/16/2021,27523.19
8/13/2021,27977.15
8/12/2021,28015.02
8/11/2021,28070.51
8/10/2021,27888.15
8/6/2021,27820.04
8/5/2021,27728.12
8/4/2021,27584.08
8/3/2021,27641.83
8/2/2021,27781.02
7/30/2021,27283.59
7/29/2021,27782.42
7/28/2021,27581.66
7/27/2021,27970.22
7/26/2021,27833.29
7/21/2021,27548
7/20/2021,27388.16
7/19/2021,27652.74
7/16/2021,28003.08
7/15/2021,28279.09
7/14/2021,28608.49
7/13/2021,28718.24
7/12/2021,28569.02
7/9/2021,27940.42
7/8/2021,28118.03
7/7/2021,28366.95
7/6/2021,28643.21
7/5/2021,28598.19
7/2/2021,28783.28
7/1/2021,28707.04
6/30/2021,28791.53
6/29/2021,28812.61
6/28/2021,29048.02
6/25/2021,29066.18
6/24/2021,28875.23
6/23/2021,28874.89
6/22/2021,28884.13
6/21/2021,28010.93
6/18/2021,28964.08
6/17/2021,29018.33
6/16/2021,29291.01
6/15/2021,29441.3
6/14/2021,29161.8
6/11/2021,28948.73
6/10/2021,28958.56
6/9/2021,28860.8
6/8/2021,28963.56
6/7/2021,29019.24
6/4/2021,28941.52
6/3/2021,29058.11
6/2/2021,28946.14
6/1/2021,28814.34
5/31/2021,28860.08
5/28/2021,29149.41
5/27/2021,28549.01
5/26/2021,28642.19
5/25/2021,28553.98
5/24/2021,28364.61
5/21/2021,28317.83
5/20/2021,28098.25
5/19/2021,28044.45
5/18/2021,28406.84
5/17/2021,27824.83
5/14/2021,28084.47
5/13/2021,27448.01
5/12/2021,28147.51
5/11/2021,28608.59
5/10/2021,29518.34
5/7/2021,29357.82
5/6/2021,29331.37
4/30/2021,28812.63
4/28/2021,29053.97
4/27/2021,28991.89
4/26/2021,29126.23
4/23/2021,29020.63
4/22/2021,29188.17
4/21/2021,28508.55
4/20/2021,29100.38
4/19/2021,29685.37
4/16/2021,29683.37
4/15/2021,29642.69
4/14/2021,29620.99
4/13/2021,29751.61
4/12/2021,29538.73
4/9/2021,29768.06
4/8/2021,29708.98
4/7/2021,29730.79
4/6/2021,29696.63
4/5/2021,30089.25
4/2/2021,29854
4/1/2021,29388.87
3/31/2021,29178.8
3/30/2021,29432.7
3/29/2021,29384.52
3/26/2021,29176.7
3/25/2021,28729.88
3/24/2021,28405.52
3/23/2021,28995.92
