Date,Document ID
09/09/2021,BBLS DD XNMMT3H8
09/08/2021,BBLS DD XE7LI5MO000000
09/08/2021,BBLS DD X75QT370000000
09/07/2021,BBLS DD XEJDBKOC000000
09/07/2021,BBLS DD XF33ITKS000000
09/02/2021,BBLS DD X2SSVHM2GG2008GIADGG4060G9D
09/01/2021,BBLS DD X6HJDADO000000
08/31/2021,BBLS DD X3U6TIVS000000
08/30/2021,BBLS DD X19VQJ8I0000N
08/30/2021,BBLS DD X6D139JG000000
08/29/2021,BBLS DD X8Q7UE5G000000
08/29/2021,BBLS DD X5OCDOI4000000
08/29/2021,BBLS DD XK99RP8000000
08/26/2021,BBLS DD XNMMGN18
08/26/2021,BBLS DD X39GL78O000000
08/26/2021,BBLS DD X8BR58IG000000
08/25/2021,BBLS DD XBRIP7SO000000
08/25/2021,BBLS DD XDEJP6KO000000
08/25/2021,BBLS DD XEMSLFDO000000
08/25/2021,BBLS DD X3PNV1O8000000
08/25/2021,BBLS DD XMFPPO4000000
08/25/2021,BBLS DD X76U6JF8000000
08/25/2021,BBLS DD X8H28BCO000000
08/24/2021,BBLS DD X675D9Q4000000
08/24/2021,BBLS DD X6QCJE6S000000
08/23/2021,BBLS DD X9ULS1AC000000
08/23/2021,BBLS DD XDC10SBO000000
08/22/2021,BBLS DD X9M69HIK000000
08/22/2021,BBLS DD X11A3LUG000000
08/22/2021,BBLS DD XF13ULH8000000
08/22/2021,BBLS DD XFBT51UO000000
08/19/2021,BBLS DD X531T01S000000
08/18/2021,BBLS DD XCJMLAJ0000000
08/18/2021,BBLS DD X424RTO000000
08/18/2021,BBLS DD X5409DG0000000
08/18/2021,BBLS DD X1POIKK000000
08/16/2021,BBLS DD X96H2ISO000000
08/16/2021,BBLS DD X12U035C000000
08/16/2021,BBLS DD XB3LSE0S000000
08/16/2021,BBLS DD XCM6R3IC000000
08/16/2021,BBLS DD X1MDUP8S000000
08/16/2021,BBLS DD XBN85BG000000
08/16/2021,BBLS DD X68CNAT8000000
08/16/2021,BBLS DD X77B7VL8000000
08/16/2021,BBLS DD X7CA3TSS000000
08/15/2021,BBLS DD XDRMPUI4000000
08/12/2021,BBLS DD X95HVU84000000
08/12/2021,BBLS DD XC3V3QK8000000
08/10/2021,BBLS DD XDE4JVUS000000
08/09/2021,BBLS DD XB2D0AKS000000
08/09/2021,BBLS DD XBI1EISS000000
08/09/2021,BBLS DD XEAUC154000000
08/09/2021,BBLS DD X1OH934O000000
08/08/2021,BBLS DD XSJ3C5K000000
08/08/2021,BBLS DD X9731UTC000000
08/08/2021,BBLS DD XDN5EUH4000000
08/05/2021,BBLS DD X2EKF2C000000
08/04/2021,BBLS DD X8S6FSQG000000
08/04/2021,BBLS DD XAR3R7JK000000
08/03/2021,BBLS DD XC9M9E40000000
08/02/2021,BBLS DD X1Q6OC8RPV82
08/01/2021,BBLS DD XATAH57C000000
07/28/2021,BBLS DD X2SSVHLS8G00G0O83BGG407129D
07/28/2021,BBLS DD X48B76NG000000
07/28/2021,BBLS DD X7ITD170000000
07/26/2021,BBLS DD XCTS51D0000000
07/26/2021,BBLS DD X9TVIRQ81
07/25/2021,BBLS DD XEFPP1G000000
07/22/2021,BBLS DD XAPI1CIO000000
07/22/2021,BBLS DD XESFPSMO000000
07/22/2021,BBLS DD X4DM5MHC000000
07/22/2021,BBLS DD X7KOEHD8000000
07/21/2021,BBLS DD X2P0HMBO1
07/20/2021,BBLS DD XM62AFG000000
07/19/2021,BBLS DD XBR0M5OC000000
07/19/2021,BBLS DD X66GMT6K000000
07/19/2021,BBLS DD X84EUSQK000000
07/18/2021,BBLS DD X4VQ0RE8000000
07/18/2021,BBLS DD X5LD4LS8000000
07/18/2021,BBLS DD X7NB37SO000000
07/14/2021,BBLS DD XNP00NBO1
07/13/2021,BBLS DD X2SSVHJ18G04HH0CAAGG4070H1D
07/13/2021,BBLS DD X15RRSBG000000
07/12/2021,BBLS DD XAFN90UK000000
07/12/2021,BBLS DD XD2EH2F4000000
07/12/2021,BBLS DD XDJJUOE4000000
07/12/2021,BBLS DD X1OE4MEO000000
07/12/2021,BBLS DD X27F2Q68000000
07/12/2021,BBLS DD X4TLAB94000000
07/12/2021,BBLS DD X6N6FPJ8000000
07/12/2021,BBLS DD X7BPK0B8000000
07/11/2021,BBLS DD XQFO7R18
07/11/2021,BBLS DD X55MFNAG000000
07/08/2021,BBLS DD XBPE89C01
07/07/2021,BBLS DD XAGN4OOK000000
07/06/2021,BBLS DD X6S0HOGK000000
07/05/2021,BBLS DD X6B9BMJ0000000
06/30/2021,BBLS DD XTMOONN01
06/30/2021,BBLS DD X2SSVHM3CG430GGCADGG406129D
06/30/2021,BBLS DD XB4DEG64000000
06/30/2021,BBLS DD XNMMA218
06/30/2021,BBLS DD XNMMAN18
