Date,Last Price
9/21/2021,1.3804
9/20/2021,1.3789
9/17/2021,1.3754
9/16/2021,1.3712
9/15/2021,1.3635
9/14/2021,1.3659
9/13/2021,1.3569
9/10/2021,1.3602
9/9/2021,1.3571
9/8/2021,1.3578
9/7/2021,1.3539
9/6/2021,1.3441
9/3/2021,1.3412
9/2/2021,1.3511
9/1/2021,1.3574
8/31/2021,1.367
8/30/2021,1.3706
8/27/2021,1.3675
8/26/2021,1.3819
8/25/2021,1.3743
8/24/2021,1.3777
8/23/2021,1.3871
8/20/2021,1.4013
8/19/2021,1.3992
8/18/2021,1.382
8/17/2021,1.3782
8/16/2021,1.3631
8/13/2021,1.3564
8/12/2021,1.363
8/11/2021,1.3562
8/10/2021,1.3608
8/9/2021,1.3641
8/6/2021,1.3595
8/5/2021,1.3504
8/4/2021,1.3551
8/3/2021,1.3523
8/2/2021,1.3579
7/30/2021,1.3615
7/29/2021,1.3521
7/28/2021,1.3562
7/27/2021,1.3588
7/26/2021,1.3549
7/23/2021,1.3576
7/22/2021,1.3548
7/21/2021,1.3592
7/20/2021,1.3643
7/19/2021,1.3615
7/16/2021,1.3516
7/15/2021,1.3473
7/14/2021,1.3369
7/13/2021,1.3429
7/12/2021,1.3368
7/9/2021,1.3349
7/8/2021,1.3455
7/7/2021,1.3365
7/6/2021,1.3342
7/5/2021,1.3281
7/2/2021,1.3286
7/1/2021,1.3385
6/30/2021,1.3335
6/29/2021,1.3312
6/28/2021,1.3215
6/25/2021,1.3173
6/24/2021,1.3187
6/23/2021,1.3197
6/22/2021,1.3238
6/21/2021,1.3264
6/18/2021,1.3371
6/17/2021,1.3242
6/16/2021,1.3141
6/15/2021,1.3008
6/14/2021,1.2968
6/11/2021,1.2979
6/10/2021,1.2898
6/9/2021,1.2933
6/8/2021,1.2923
6/7/2021,1.2894
6/4/2021,1.2917
6/3/2021,1.3055
6/2/2021,1.2901
6/1/2021,1.2898
5/31/2021,1.293
5/28/2021,1.2963
5/27/2021,1.2915
5/26/2021,1.2915
5/25/2021,1.2897
5/24/2021,1.2898
5/21/2021,1.2938
5/20/2021,1.2861
5/19/2021,1.2942
5/18/2021,1.2837
5/17/2021,1.2874
5/14/2021,1.2849
5/13/2021,1.2938
5/12/2021,1.2945
5/11/2021,1.2755
5/10/2021,1.2772
5/7/2021,1.2749
5/6/2021,1.2845
5/5/2021,1.2907
5/4/2021,1.2971
5/3/2021,1.2884
4/30/2021,1.2966
4/29/2021,1.2878
4/28/2021,1.2835
4/27/2021,1.2875
4/26/2021,1.2821
4/23/2021,1.2909
4/22/2021,1.2975
4/21/2021,1.2897
4/20/2021,1.2947
4/19/2021,1.289
4/16/2021,1.2928
4/15/2021,1.2901
4/14/2021,1.2948
4/13/2021,1.3082
4/12/2021,1.3117
4/9/2021,1.3125
4/8/2021,1.3066
4/7/2021,1.3137
4/6/2021,1.3049
4/5/2021,1.3065
4/2/2021,1.3141
4/1/2021,1.3128
3/31/2021,1.3166
3/30/2021,1.3164
3/29/2021,1.3104
3/26/2021,1.3093
3/25/2021,1.3193
3/24/2021,1.3189
3/23/2021,1.3113
3/22/2021,1.291
3/19/2021,1.2914
3/18/2021,1.2888
3/17/2021,1.2825
3/16/2021,1.2911
3/15/2021,1.2894
3/12/2021,1.2882
3/11/2021,1.2838
3/10/2021,1.2927
3/9/2021,1.2951
3/8/2021,1.3075
3/5/2021,1.3011
3/4/2021,1.295
3/3/2021,1.2862
3/2/2021,1.2789
3/1/2021,1.2864
2/26/2021,1.2978
2/25/2021,1.2703
2/24/2021,1.255
2/23/2021,1.264
2/22/2021,1.2633
2/19/2021,1.2708
2/18/2021,1.2871
2/17/2021,1.2903
2/16/2021,1.2897
2/15/2021,1.2852
2/12/2021,1.2885
2/11/2021,1.2896
2/10/2021,1.295
2/9/2021,1.2921
2/8/2021,1.2979
2/5/2021,1.3025
2/4/2021,1.3157
2/3/2021,1.3125
2/2/2021,1.3145
2/1/2021,1.3122
1/29/2021,1.3082
1/28/2021,1.3028
1/27/2021,1.305
1/26/2021,1.2907
1/25/2021,1.2965
1/22/2021,1.2962
1/21/2021,1.2878
1/20/2021,1.2909
1/19/2021,1.2993
1/18/2021,1.3019
1/15/2021,1.2982
1/14/2021,1.2856
1/13/2021,1.2931
1/12/2021,1.2865
1/11/2021,1.2994
1/8/2021,1.2876
1/7/2021,1.2875
1/6/2021,1.2814
1/5/2021,1.2885
1/4/2021,1.3044
1/1/2021,1.2998
12/31/2020,1.2999
12/30/2020,1.3012
12/29/2020,1.3146
12/28/2020,1.319
12/25/2020,1.3149
12/24/2020,1.3173
12/23/2020,1.3198
12/22/2020,1.3295
12/21/2020,1.318
12/18/2020,1.312
12/17/2020,1.3113
12/16/2020,1.3197
12/15/2020,1.3232
12/14/2020,1.3275
12/11/2020,1.3271
12/10/2020,1.3272
12/9/2020,1.3436
12/8/2020,1.3497
12/7/2020,1.3479
12/4/2020,1.3465
12/3/2020,1.3437
12/2/2020,1.3484
12/1/2020,1.3564
11/30/2020,1.3617
11/27/2020,1.3534
11/26/2020,1.3585
11/25/2020,1.3576
11/24/2020,1.3584
11/23/2020,1.3725
11/20/2020,1.3692
11/19/2020,1.3729
11/18/2020,1.3687
11/17/2020,1.3698
11/16/2020,1.3659
11/13/2020,1.3752
11/12/2020,1.3826
11/11/2020,1.3735
11/10/2020,1.3726
11/9/2020,1.3736
11/6/2020,1.3774
11/5/2020,1.373
11/4/2020,1.3932
11/3/2020,1.3958
11/2/2020,1.417
10/30/2020,1.4228
10/29/2020,1.4229
10/28/2020,1.4194
10/27/2020,1.4028
10/26/2020,1.4038
10/23/2020,1.401
10/22/2020,1.405
10/21/2020,1.4049
10/20/2020,1.4189
10/19/2020,1.4148
10/16/2020,1.4126
10/15/2020,1.4096
10/14/2020,1.3962
10/13/2020,1.3964
10/12/2020,1.3872
10/9/2020,1.3808
10/8/2020,1.3949
10/7/2020,1.4008
10/6/2020,1.4081
10/5/2020,1.3926
10/2/2020,1.3964
10/1/2020,1.3923
9/30/2020,1.3962
9/29/2020,1.4027
9/28/2020,1.4143
9/25/2020,1.4229
9/24/2020,1.4189
9/23/2020,1.414
9/22/2020,1.3949
9/21/2020,1.3844
9/18/2020,1.3716
9/17/2020,1.3676
9/16/2020,1.3688
9/15/2020,1.3695
9/14/2020,1.372
9/11/2020,1.3729
9/10/2020,1.3778
9/9/2020,1.3731
9/8/2020,1.3862
9/7/2020,1.3742
9/4/2020,1.3733
9/3/2020,1.3748
9/2/2020,1.3626
9/1/2020,1.3564
8/31/2020,1.3558
8/28/2020,1.3576
8/27/2020,1.3776
8/26/2020,1.3825
8/25/2020,1.3899
8/24/2020,1.3962
8/21/2020,1.3965
8/20/2020,1.3904
8/19/2020,1.3924
8/18/2020,1.3806
8/17/2020,1.3861
8/14/2020,1.3946
8/13/2020,1.3988
8/12/2020,1.3962
8/11/2020,1.4
8/10/2020,1.3988
8/7/2020,1.3972
8/6/2020,1.3821
8/5/2020,1.3906
8/4/2020,1.3964
8/3/2020,1.4038
7/31/2020,1.3999
7/30/2020,1.3899
7/29/2020,1.3913
7/28/2020,1.397
7/27/2020,1.3986
7/24/2020,1.4074
7/23/2020,1.4087
7/22/2020,1.4005
7/21/2020,1.4029
7/20/2020,1.4252
7/17/2020,1.4296
7/16/2020,1.4343
7/15/2020,1.4269
7/14/2020,1.4334
7/13/2020,1.4409
7/10/2020,1.439
7/9/2020,1.436
7/8/2020,1.4325
7/7/2020,1.4395
7/6/2020,1.4341
7/3/2020,1.4408
7/2/2020,1.4443
7/1/2020,1.446
6/30/2020,1.4486
6/29/2020,1.4562
6/26/2020,1.4567
6/25/2020,1.4519
6/24/2020,1.4558
6/23/2020,1.443
6/22/2020,1.4475
6/19/2020,1.4629
6/18/2020,1.4594
6/17/2020,1.4526
6/16/2020,1.4516
6/15/2020,1.4452
6/12/2020,1.4565
6/11/2020,1.4589
6/10/2020,1.429
6/9/2020,1.4366
6/8/2020,1.4243
6/5/2020,1.4349
6/4/2020,1.4403
6/3/2020,1.4448
6/2/2020,1.45
6/1/2020,1.4711
5/29/2020,1.4995
5/28/2020,1.5068
5/27/2020,1.5097
5/26/2020,1.5024
5/25/2020,1.5277
5/22/2020,1.5298
5/21/2020,1.5231
