Date,Last Price
9/21/2021,1.2791
9/20/2021,1.2822
9/17/2021,1.2764
9/16/2021,1.2683
9/15/2021,1.263
9/14/2021,1.2694
9/13/2021,1.2648
9/10/2021,1.2692
9/9/2021,1.2664
9/8/2021,1.2691
9/7/2021,1.2647
9/6/2021,1.2534
9/3/2021,1.2524
9/2/2021,1.2553
9/1/2021,1.262
8/31/2021,1.2616
8/30/2021,1.2606
8/27/2021,1.262
8/26/2021,1.2687
8/25/2021,1.2591
8/24/2021,1.2589
8/23/2021,1.2654
8/20/2021,1.2821
8/19/2021,1.2828
8/18/2021,1.2658
8/17/2021,1.2629
8/16/2021,1.2574
8/13/2021,1.2515
8/12/2021,1.2526
8/11/2021,1.2504
8/10/2021,1.252
8/9/2021,1.2577
8/6/2021,1.2554
8/5/2021,1.2506
8/4/2021,1.254
8/3/2021,1.2539
8/2/2021,1.251
7/30/2021,1.2475
7/29/2021,1.2448
7/28/2021,1.2528
7/27/2021,1.2602
7/26/2021,1.2551
7/23/2021,1.2564
7/22/2021,1.2563
7/21/2021,1.2556
7/20/2021,1.2682
7/19/2021,1.275
7/16/2021,1.2613
7/15/2021,1.2595
7/14/2021,1.2509
7/13/2021,1.2513
7/12/2021,1.2453
7/9/2021,1.2447
7/8/2021,1.2534
7/7/2021,1.2481
7/6/2021,1.2461
7/5/2021,1.2342
7/2/2021,1.2322
7/1/2021,1.2437
6/30/2021,1.2398
6/29/2021,1.2401
6/28/2021,1.2337
6/25/2021,1.2292
6/24/2021,1.2324
6/23/2021,1.2306
6/22/2021,1.2306
6/21/2021,1.2363
6/18/2021,1.2465
6/17/2021,1.2358
6/16/2021,1.2277
6/15/2021,1.2184
6/14/2021,1.2144
6/11/2021,1.2158
6/10/2021,1.2096
6/9/2021,1.2111
6/8/2021,1.2111
6/7/2021,1.2082
6/4/2021,1.2084
6/3/2021,1.2107
6/2/2021,1.2035
6/1/2021,1.2071
5/31/2021,1.2064
5/28/2021,1.2076
5/27/2021,1.2066
5/26/2021,1.2123
5/25/2021,1.2067
5/24/2021,1.2044
5/21/2021,1.2066
5/20/2021,1.2061
5/19/2021,1.2133
5/18/2021,1.2066
5/17/2021,1.2068
5/14/2021,1.2104
5/13/2021,1.2162
5/12/2021,1.2134
5/11/2021,1.2102
5/10/2021,1.2102
5/7/2021,1.2133
5/6/2021,1.2149
5/5/2021,1.2267
5/4/2021,1.2309
5/3/2021,1.2279
4/30/2021,1.2287
4/29/2021,1.2283
4/28/2021,1.2314
4/27/2021,1.2399
4/26/2021,1.2398
4/23/2021,1.2476
4/22/2021,1.2507
4/21/2021,1.2497
4/20/2021,1.2609
4/19/2021,1.2535
4/16/2021,1.2508
4/15/2021,1.2543
4/14/2021,1.2521
4/13/2021,1.2535
4/12/2021,1.2563
4/9/2021,1.253
4/8/2021,1.2562
4/7/2021,1.2609
4/6/2021,1.2566
4/5/2021,1.2525
4/2/2021,1.2578
4/1/2021,1.2548
3/31/2021,1.2562
3/30/2021,1.2634
3/29/2021,1.2591
3/26/2021,1.2577
3/25/2021,1.2613
3/24/2021,1.2579
3/23/2021,1.2588
3/22/2021,1.2522
3/19/2021,1.25
3/18/2021,1.2487
3/17/2021,1.2405
3/16/2021,1.2448
3/15/2021,1.2472
3/12/2021,1.2475
3/11/2021,1.2533
3/10/2021,1.2618
3/9/2021,1.2638
3/8/2021,1.2665
3/5/2021,1.2659
3/4/2021,1.2667
3/3/2021,1.2655
3/2/2021,1.2635
3/1/2021,1.2646
2/26/2021,1.2738
2/25/2021,1.2603
2/24/2021,1.2513
2/23/2021,1.2587
2/22/2021,1.2615
2/19/2021,1.2615
2/18/2021,1.2679
2/17/2021,1.2702
2/16/2021,1.269
2/15/2021,1.2639
2/12/2021,1.2696
2/11/2021,1.2705
2/10/2021,1.2701
2/9/2021,1.2693
2/8/2021,1.2739
2/5/2021,1.2756
2/4/2021,1.2827
2/3/2021,1.2786
2/2/2021,1.2781
2/1/2021,1.2851
1/29/2021,1.2777
1/28/2021,1.283
1/27/2021,1.2799
1/26/2021,1.2694
1/25/2021,1.274
1/22/2021,1.2733
1/21/2021,1.2637
1/20/2021,1.2636
1/19/2021,1.2735
1/18/2021,1.2757
1/15/2021,1.2732
1/14/2021,1.264
1/13/2021,1.2698
1/12/2021,1.2711
1/11/2021,1.2784
1/8/2021,1.2702
1/7/2021,1.2691
1/6/2021,1.2677
1/5/2021,1.2669
1/4/2021,1.2778
1/1/2021,1.2728
12/31/2020,1.2725
12/30/2020,1.2758
12/29/2020,1.2818
12/28/2020,1.2854
12/25/2020,1.2865
12/24/2020,1.2863
12/23/2020,1.2848
12/22/2020,1.2908
12/21/2020,1.2857
12/18/2020,1.2788
12/17/2020,1.272
12/16/2020,1.2743
12/15/2020,1.2701
12/14/2020,1.2764
12/11/2020,1.2769
12/10/2020,1.2739
12/9/2020,1.2816
12/8/2020,1.2819
12/7/2020,1.2798
12/4/2020,1.2784
12/3/2020,1.2862
12/2/2020,1.2918
12/1/2020,1.2936
11/30/2020,1.3001
11/27/2020,1.2989
11/26/2020,1.3017
11/25/2020,1.3007
11/24/2020,1.2998
11/23/2020,1.3082
11/20/2020,1.3095
11/19/2020,1.3073
11/18/2020,1.3081
11/17/2020,1.3105
