Date,Last Price
9/21/2021,0.9238
9/20/2021,0.9276
9/17/2021,0.9323
9/16/2021,0.9277
9/15/2021,0.9198
9/14/2021,0.9204
9/13/2021,0.9217
9/10/2021,0.9176
9/9/2021,0.917
9/8/2021,0.9217
9/7/2021,0.9197
9/6/2021,0.9151
9/3/2021,0.9134
9/2/2021,0.9143
9/1/2021,0.9152
8/31/2021,0.9151
8/30/2021,0.9169
8/27/2021,0.9113
8/26/2021,0.9178
8/25/2021,0.914
8/24/2021,0.9126
8/23/2021,0.9124
8/20/2021,0.9171
8/19/2021,0.9189
8/18/2021,0.917
8/17/2021,0.914
8/16/2021,0.9121
8/13/2021,0.9156
8/12/2021,0.9233
8/11/2021,0.9219
8/10/2021,0.9223
8/9/2021,0.9201
8/6/2021,0.9148
8/5/2021,0.907
8/4/2021,0.9068
8/3/2021,0.9037
8/2/2021,0.9055
7/30/2021,0.9059
7/29/2021,0.9062
7/28/2021,0.9101
7/27/2021,0.9145
7/26/2021,0.9161
7/23/2021,0.9194
7/22/2021,0.919
7/21/2021,0.9176
7/20/2021,0.9217
7/19/2021,0.9175
7/16/2021,0.9194
7/15/2021,0.9178
7/14/2021,0.9153
7/13/2021,0.9183
7/12/2021,0.9151
7/9/2021,0.9147
7/8/2021,0.9154
7/7/2021,0.9255
7/6/2021,0.9242
7/5/2021,0.9221
7/2/2021,0.9209
7/1/2021,0.9255
6/30/2021,0.925
6/29/2021,0.921
6/28/2021,0.9195
6/25/2021,0.9173
6/24/2021,0.9179
6/23/2021,0.9185
6/22/2021,0.918
6/21/2021,0.9178
6/18/2021,0.9216
6/17/2021,0.9175
6/16/2021,0.9087
6/15/2021,0.898
6/14/2021,0.8999
6/11/2021,0.8983
6/10/2021,0.8945
6/9/2021,0.8957
6/8/2021,0.8968
6/7/2021,0.8977
6/4/2021,0.8994
6/3/2021,0.9035
6/2/2021,0.8979
6/1/2021,0.8973
5/31/2021,0.8989
5/28/2021,0.8999
5/27/2021,0.8968
5/26/2021,0.8982
5/25/2021,0.8955
5/24/2021,0.8972
5/21/2021,0.8979
5/20/2021,0.8973
5/19/2021,0.9042
5/18/2021,0.8978
5/17/2021,0.9033
5/14/2021,0.9014
5/13/2021,0.9064
5/12/2021,0.9093
5/11/2021,0.9037
5/10/2021,0.9011
5/7/2021,0.9008
5/6/2021,0.9073
5/5/2021,0.913
5/4/2021,0.9137
5/3/2021,0.9109
4/30/2021,0.9131
4/29/2021,0.9086
4/28/2021,0.9101
4/27/2021,0.9136
4/26/2021,0.9143
4/23/2021,0.914
4/22/2021,0.9173
4/21/2021,0.917
4/20/2021,0.9161
4/19/2021,0.9147
4/16/2021,0.9201
4/15/2021,0.9226
4/14/2021,0.9225
4/13/2021,0.9209
4/12/2021,0.9228
4/9/2021,0.9242
4/8/2021,0.9246
4/7/2021,0.9303
4/6/2021,0.9309
4/5/2021,0.9367
4/2/2021,0.9423
4/1/2021,0.9421
3/31/2021,0.9436
3/30/2021,0.9424
