Date,Last Price
9/17/2021,6.4661
9/16/2021,6.4576
9/15/2021,6.4325
9/14/2021,6.4386
9/13/2021,6.4518
9/10/2021,6.4443
9/9/2021,6.4554
9/8/2021,6.4617
9/7/2021,6.4667
9/6/2021,6.4582
9/3/2021,6.4552
9/2/2021,6.4565
9/1/2021,6.4599
8/31/2021,6.4607
8/30/2021,6.4667
8/27/2021,6.472
8/26/2021,6.4818
8/25/2021,6.4757
8/24/2021,6.4714
8/23/2021,6.4816
8/20/2021,6.5015
8/19/2021,6.4949
8/18/2021,6.4847
8/17/2021,6.4863
8/16/2021,6.4747
8/13/2021,6.4774
8/12/2021,6.4795
8/11/2021,6.4795
8/10/2021,6.4859
8/9/2021,6.4864
8/6/2021,6.4831
8/5/2021,6.4615
8/4/2021,6.4662
8/3/2021,6.4703
8/2/2021,6.4621
7/30/2021,6.4614
7/29/2021,6.4564
7/28/2021,6.4909
7/27/2021,6.5112
7/26/2021,6.4829
7/23/2021,6.4813
7/22/2021,6.4707
7/21/2021,6.468
7/20/2021,6.485
7/19/2021,6.4905
7/16/2021,6.4791
7/15/2021,6.4609
7/14/2021,6.4692
7/13/2021,6.4688
7/12/2021,6.4759
7/9/2021,6.479
7/8/2021,6.4905
7/7/2021,6.4728
7/6/2021,6.4791
7/5/2021,6.4642
7/2/2021,6.473
7/1/2021,6.4691
6/30/2021,6.4571
6/29/2021,6.4637
6/28/2021,6.4566
6/25/2021,6.4562
6/24/2021,6.4719
6/23/2021,6.4743
6/22/2021,6.4811
6/21/2021,6.4669
6/18/2021,6.4531
6/17/2021,6.4483
6/16/2021,6.398
6/15/2021,6.4061
6/11/2021,6.3987
6/10/2021,6.3932
6/9/2021,6.3872
6/8/2021,6.4005
6/7/2021,6.3974
6/4/2021,6.3952
6/3/2021,6.4038
6/2/2021,6.3811
6/1/2021,6.3812
5/31/2021,6.3701
5/28/2021,6.3685
5/27/2021,6.3833
5/26/2021,6.3908
5/25/2021,6.4107
5/24/2021,6.4193
5/21/2021,6.434
5/20/2021,6.4348
5/19/2021,6.4349
5/18/2021,6.4257
5/17/2021,6.439
5/14/2021,6.4371
5/13/2021,6.452
5/12/2021,6.4564
5/11/2021,6.4292
5/10/2021,6.4165
5/7/2021,6.4333
5/6/2021,6.4641
4/30/2021,6.4749
4/29/2021,6.4722
4/28/2021,6.479
4/27/2021,6.4831
4/26/2021,6.4855
4/23/2021,6.4963
4/22/2021,6.4901
4/21/2021,6.4905
4/20/2021,6.4995
4/19/2021,6.5103
4/16/2021,6.5206
4/15/2021,6.5226
4/14/2021,6.5297
4/13/2021,6.5441
4/12/2021,6.5483
4/9/2021,6.5526
4/8/2021,6.5511
4/7/2021,6.5425
4/6/2021,6.5395
4/2/2021,6.567
4/1/2021,6.5652
3/31/2021,6.5528
3/30/2021,6.5718
3/29/2021,6.5701
3/26/2021,6.5411
3/25/2021,6.5463
3/24/2021,6.5245
3/23/2021,6.5162
3/22/2021,6.5077
3/19/2021,6.509
3/18/2021,6.5069
3/17/2021,6.5041
3/16/2021,6.506
3/15/2021,6.5001
3/12/2021,6.5085
3/11/2021,6.4938
3/10/2021,6.5055
3/9/2021,6.5065
3/8/2021,6.526
3/5/2021,6.4971
3/4/2021,6.4699
3/3/2021,6.4679
3/2/2021,6.4706
3/1/2021,6.466
2/26/2021,6.4789
2/25/2021,6.4549
2/24/2021,6.4571
2/23/2021,6.4668
2/22/2021,6.4648
2/19/2021,6.4577
2/18/2021,6.4878
2/10/2021,6.4583
2/9/2021,6.4353
2/8/2021,6.4484
2/5/2021,6.4656
2/4/2021,6.4718
2/3/2021,6.462
2/2/2021,6.4574
2/1/2021,6.4679
1/29/2021,6.4292
1/28/2021,6.4495
1/27/2021,6.4836
1/26/2021,6.4651
1/25/2021,6.4801
1/22/2021,6.4815
1/21/2021,6.462
1/20/2021,6.4656
1/19/2021,6.4791
1/18/2021,6.4925
1/15/2021,6.4809
1/14/2021,6.4745
1/13/2021,6.4683
1/12/2021,6.4636
1/11/2021,6.4814
1/8/2021,6.4746
1/7/2021,6.4783
1/6/2021,6.4629
1/5/2021,6.4561
1/4/2021,6.4615
12/31/2020,6.5272
12/30/2020,6.5232
12/29/2020,6.5308
12/28/2020,6.5371
12/25/2020,6.5418
12/24/2020,6.53
12/23/2020,6.5406
12/22/2020,6.5429
12/21/2020,6.5497
12/18/2020,6.54
12/17/2020,6.5338
12/16/2020,6.5328
12/15/2020,6.5394
12/14/2020,6.551
12/11/2020,6.5462
12/10/2020,6.544
12/9/2020,6.5435
12/8/2020,6.5331
12/7/2020,6.5297
12/4/2020,6.5315
12/3/2020,6.5429
12/2/2020,6.563
12/1/2020,6.5722
11/30/2020,6.5789
11/27/2020,6.5781
11/26/2020,6.5756
11/25/2020,6.579
11/24/2020,6.5915
11/23/2020,6.586
11/20/2020,6.563
11/19/2020,6.584
11/18/2020,6.5605
11/17/2020,6.5567
11/16/2020,6.5848
11/13/2020,6.6065
11/12/2020,6.613
11/11/2020,6.631
11/10/2020,6.617
11/9/2020,6.6295
11/6/2020,6.6124
11/5/2020,6.6065
11/4/2020,6.6524
11/3/2020,6.6776
11/2/2020,6.6909
10/30/2020,6.6915
10/29/2020,6.715
10/28/2020,6.729
10/27/2020,6.7055
10/26/2020,6.7122
10/23/2020,6.6867
10/22/2020,6.6851
10/21/2020,6.651
10/20/2020,6.6767
10/19/2020,6.683
10/16/2020,6.6976
10/15/2020,6.7254
10/14/2020,6.715
10/13/2020,6.7466
10/12/2020,6.7459
10/9/2020,6.6947
9/30/2020,6.7908
9/29/2020,6.8159
9/28/2020,6.8113
9/25/2020,6.8238
9/24/2020,6.8287
9/23/2020,6.8091
9/22/2020,6.7799
9/21/2020,6.8053
9/18/2020,6.7691
9/17/2020,6.7638
9/16/2020,6.7548
9/15/2020,6.7826
9/14/2020,6.8105
9/11/2020,6.8344
9/10/2020,6.8343
9/9/2020,6.8333
9/8/2020,6.8464
9/7/2020,6.8305
9/4/2020,6.8425
9/3/2020,6.8488
9/2/2020,6.8383
9/1/2020,6.8281
8/31/2020,6.8485
8/28/2020,6.8654
8/27/2020,6.8941
8/26/2020,6.886
8/25/2020,6.9128
8/24/2020,6.9196
8/21/2020,6.9194
8/20/2020,6.9158
8/19/2020,6.9207
8/18/2020,6.9218
8/17/2020,6.9329
8/14/2020,6.9503
8/13/2020,6.9451
8/12/2020,6.9372
8/11/2020,6.9463
8/10/2020,6.9619
8/7/2020,6.968
8/6/2020,6.9535
8/5/2020,6.9366
8/4/2020,6.9734
8/3/2020,6.9809
7/31/2020,6.9752
7/30/2020,7.0088
7/29/2020,7.0016
7/28/2020,7.0008
7/27/2020,6.9964
7/24/2020,7.0184
7/23/2020,7.0041
7/22/2020,7.0002
7/21/2020,6.9811
