Date,Last Price
9/21/2021,0.8523
9/20/2021,0.8528
9/17/2021,0.8529
9/16/2021,0.8497
9/15/2021,0.8463
9/14/2021,0.8472
9/13/2021,0.8467
9/10/2021,0.8467
9/9/2021,0.8458
9/8/2021,0.8463
9/7/2021,0.8444
9/6/2021,0.8425
9/3/2021,0.8418
9/2/2021,0.8421
9/1/2021,0.8446
8/31/2021,0.8468
8/30/2021,0.8477
8/27/2021,0.8477
8/26/2021,0.8509
8/25/2021,0.8495
8/24/2021,0.8505
8/23/2021,0.8513
8/20/2021,0.8547
8/19/2021,0.8564
8/18/2021,0.8541
8/17/2021,0.8541
8/16/2021,0.8492
8/13/2021,0.8478
8/12/2021,0.8525
8/11/2021,0.8519
8/10/2021,0.8532
8/9/2021,0.8521
8/6/2021,0.8502
8/5/2021,0.8451
8/4/2021,0.8448
8/3/2021,0.8428
8/2/2021,0.8423
7/30/2021,0.8427
7/29/2021,0.8413
7/28/2021,0.8444
7/27/2021,0.8463
7/26/2021,0.8472
7/23/2021,0.8495
7/22/2021,0.8496
7/21/2021,0.8478
7/20/2021,0.8489
7/19/2021,0.8475
7/16/2021,0.8471
7/15/2021,0.8467
7/14/2021,0.8449
7/13/2021,0.8491
7/12/2021,0.8432
7/9/2021,0.8419
7/8/2021,0.8442
7/7/2021,0.8481
7/6/2021,0.8458
7/5/2021,0.8429
7/2/2021,0.8428
7/1/2021,0.8439
6/30/2021,0.8434
6/29/2021,0.8406
6/28/2021,0.8386
6/25/2021,0.8378
6/24/2021,0.8381
6/23/2021,0.8384
6/22/2021,0.8374
6/21/2021,0.8391
6/18/2021,0.8429
6/17/2021,0.8399
6/16/2021,0.8337
6/15/2021,0.8247
6/14/2021,0.8251
6/11/2021,0.8259
6/10/2021,0.8213
6/9/2021,0.821
6/8/2021,0.8215
6/7/2021,0.8204
6/4/2021,0.8219
6/3/2021,0.8246
6/2/2021,0.819
6/1/2021,0.8188
5/31/2021,0.8179
5/28/2021,0.8202
5/27/2021,0.8201
5/26/2021,0.8202
5/25/2021,0.8162
5/24/2021,0.8185
5/21/2021,0.8209
5/20/2021,0.8178
5/19/2021,0.8213
5/18/2021,0.8181
5/17/2021,0.8229
5/14/2021,0.8234
5/13/2021,0.8279
5/12/2021,0.8284
5/11/2021,0.8232
5/10/2021,0.8245
5/7/2021,0.8221
5/6/2021,0.8289
5/5/2021,0.8329
5/4/2021,0.8324
5/3/2021,0.829
4/30/2021,0.832
4/29/2021,0.8251
4/28/2021,0.8247
4/27/2021,0.827
4/26/2021,0.8274
4/23/2021,0.8266
4/22/2021,0.8322
4/21/2021,0.8309
4/20/2021,0.8308
4/19/2021,0.8308
4/16/2021,0.8346
4/15/2021,0.8357
4/14/2021,0.8348
4/13/2021,0.8369
4/12/2021,0.8395
4/9/2021,0.8403
4/8/2021,0.8392
4/7/2021,0.8423
4/6/2021,0.842
4/5/2021,0.8466
4/2/2021,0.8504
4/1/2021,0.8491
3/31/2021,0.8525
3/30/2021,0.8536
3/29/2021,0.85
3/26/2021,0.8479
3/25/2021,0.8501
3/24/2021,0.8465
3/23/2021,0.8439
3/22/2021,0.838
3/19/2021,0.84
3/18/2021,0.8392
3/17/2021,0.8347
3/16/2021,0.8402
3/15/2021,0.8382
3/12/2021,0.8366
3/11/2021,0.8344
3/10/2021,0.8383
3/9/2021,0.8402
3/8/2021,0.8441
3/5/2021,0.8396
3/4/2021,0.8352
3/3/2021,0.829
3/2/2021,0.8271
3/1/2021,0.8299
2/26/2021,0.8283
2/25/2021,0.8214
2/24/2021,0.8217
2/23/2021,0.823
2/22/2021,0.8225
2/19/2021,0.8252
2/18/2021,0.8269
2/17/2021,0.8306
2/16/2021,0.8262
2/15/2021,0.8245
2/12/2021,0.8251
2/11/2021,0.8243
2/10/2021,0.8252
2/9/2021,0.8251
2/8/2021,0.8298
2/5/2021,0.83
2/4/2021,0.836
2/3/2021,0.8309
2/2/2021,0.8303
2/1/2021,0.8291
1/29/2021,0.8239
1/28/2021,0.825
1/27/2021,0.8256
1/26/2021,0.8224
1/25/2021,0.8236
1/22/2021,0.8215
1/21/2021,0.8218
1/20/2021,0.8261
1/19/2021,0.8245
1/18/2021,0.828
1/15/2021,0.8281
1/14/2021,0.8226
1/13/2021,0.8225
1/12/2021,0.8191
1/11/2021,0.823
1/8/2021,0.8185
1/7/2021,0.815
1/6/2021,0.8113
1/5/2021,0.8131
1/4/2021,0.8162
1/1/2021,0.8187
12/31/2020,0.8186
12/30/2020,0.813
12/29/2020,0.8163
12/28/2020,0.8187
12/25/2020,0.8201
12/24/2020,0.8206
12/23/2020,0.8206
12/22/2020,0.8221
12/21/2020,0.8167
