Date,Last Price
9/21/2021,0.732
9/20/2021,0.7322
9/17/2021,0.7279
9/16/2021,0.725
9/15/2021,0.7225
9/14/2021,0.7242
9/13/2021,0.7225
9/10/2021,0.723
9/9/2021,0.7229
9/8/2021,0.7261
9/7/2021,0.7254
9/6/2021,0.7227
9/3/2021,0.7216
9/2/2021,0.7229
9/1/2021,0.7263
8/31/2021,0.727
8/30/2021,0.7267
8/27/2021,0.7267
8/26/2021,0.7299
8/25/2021,0.7266
8/24/2021,0.7284
8/23/2021,0.7287
8/20/2021,0.734
8/19/2021,0.7334
8/18/2021,0.727
8/17/2021,0.7278
8/16/2021,0.7225
8/13/2021,0.7212
8/12/2021,0.7243
8/11/2021,0.7211
8/10/2021,0.7226
8/9/2021,0.7222
8/6/2021,0.7208
8/5/2021,0.7179
8/4/2021,0.72
8/3/2021,0.7187
8/2/2021,0.7202
7/30/2021,0.7193
7/29/2021,0.7163
7/28/2021,0.7193
7/27/2021,0.7205
7/26/2021,0.7237
7/23/2021,0.7273
7/22/2021,0.7263
7/21/2021,0.729
7/20/2021,0.7338
7/19/2021,0.7312
7/16/2021,0.7264
7/15/2021,0.7232
7/14/2021,0.7216
7/13/2021,0.7239
7/12/2021,0.7202
7/9/2021,0.7191
7/8/2021,0.7253
7/7/2021,0.7246
7/6/2021,0.7246
7/5/2021,0.7223
7/2/2021,0.7233
7/1/2021,0.7266
6/30/2021,0.7229
6/29/2021,0.7227
6/28/2021,0.7204
6/25/2021,0.7204
6/24/2021,0.7182
6/23/2021,0.7162
6/22/2021,0.7169
6/21/2021,0.7177
6/18/2021,0.7243
6/17/2021,0.7181
6/16/2021,0.7124
6/15/2021,0.71
6/14/2021,0.7088
6/11/2021,0.7088
6/10/2021,0.7054
6/9/2021,0.7085
6/8/2021,0.7065
6/7/2021,0.7054
6/4/2021,0.7064
6/3/2021,0.7089
6/2/2021,0.7057
6/1/2021,0.7067
5/31/2021,0.7036
5/28/2021,0.7047
5/27/2021,0.704
5/26/2021,0.7083
5/25/2021,0.7067
5/24/2021,0.7064
5/21/2021,0.7067
5/20/2021,0.7047
5/19/2021,0.7085
5/18/2021,0.7048
5/17/2021,0.7073
5/14/2021,0.7094
5/13/2021,0.7117
5/12/2021,0.7115
5/11/2021,0.7071
5/10/2021,0.7083
5/7/2021,0.7149
5/6/2021,0.7198
5/5/2021,0.719
5/4/2021,0.7201
5/3/2021,0.719
4/30/2021,0.7239
4/29/2021,0.7173
4/28/2021,0.7174
4/27/2021,0.719
4/26/2021,0.7194
4/23/2021,0.7207
4/22/2021,0.7225
4/21/2021,0.7179
4/20/2021,0.7175
4/19/2021,0.715
4/16/2021,0.7227
4/15/2021,0.7257
4/14/2021,0.7258
4/13/2021,0.7272
4/12/2021,0.7276
4/9/2021,0.7296
4/8/2021,0.7281
4/7/2021,0.7279
4/6/2021,0.7234
4/5/2021,0.7193
4/2/2021,0.7229
4/1/2021,0.7229
3/31/2021,0.7255
3/30/2021,0.7278
3/29/2021,0.7266
3/26/2021,0.7252
3/25/2021,0.7282
3/24/2021,0.7307
3/23/2021,0.7271
3/22/2021,0.7213
3/19/2021,0.7209
3/18/2021,0.718
3/17/2021,0.7161
3/16/2021,0.7198
3/15/2021,0.7193
3/12/2021,0.7183
3/11/2021,0.7147
3/10/2021,0.7176
3/9/2021,0.72
3/8/2021,0.7235
3/5/2021,0.7227
3/4/2021,0.7198
3/3/2021,0.7169
3/2/2021,0.7165
3/1/2021,0.7181
2/26/2021,0.718
2/25/2021,0.7138
2/24/2021,0.7071
2/23/2021,0.7085
2/22/2021,0.711
2/19/2021,0.7137
2/18/2021,0.7156
2/17/2021,0.7213
2/16/2021,0.7193
2/15/2021,0.7192
2/12/2021,0.7218
2/11/2021,0.7238
2/10/2021,0.7228
2/9/2021,0.7238
2/8/2021,0.7277
2/5/2021,0.7281
2/4/2021,0.7315
2/3/2021,0.7328
2/2/2021,0.7316
2/1/2021,0.732
1/29/2021,0.7297
1/28/2021,0.7288
1/27/2021,0.7305
1/26/2021,0.7281
1/25/2021,0.7312
1/22/2021,0.7308
1/21/2021,0.7281
1/20/2021,0.7324
1/19/2021,0.7335
1/18/2021,0.7359
1/15/2021,0.7361
1/14/2021,0.7306
1/13/2021,0.7333
1/12/2021,0.7317
1/11/2021,0.7399
1/8/2021,0.7371
1/7/2021,0.7371
1/6/2021,0.7348
1/5/2021,0.7338
1/4/2021,0.7367
1/1/2021,0.7316
12/31/2020,0.7318
12/30/2020,0.7339
12/29/2020,0.7406
12/28/2020,0.7432
12/25/2020,0.7373
12/24/2020,0.7377
12/23/2020,0.741
12/22/2020,0.7483
12/21/2020,0.7426
12/18/2020,0.7392
12/17/2020,0.7362
12/16/2020,0.7402
12/15/2020,0.7427
12/14/2020,0.7502
12/11/2020,0.7562
12/10/2020,0.7522
12/9/2020,0.7459
12/8/2020,0.7486
12/7/2020,0.7473
12/4/2020,0.7442
12/3/2020,0.7434
12/2/2020,0.7481
12/1/2020,0.7451
11/30/2020,0.7505
11/27/2020,0.7511
11/26/2020,0.7486
11/25/2020,0.747
11/24/2020,0.7484
11/23/2020,0.7505
11/20/2020,0.7528
11/19/2020,0.754
11/18/2020,0.7537
11/17/2020,0.7548
11/16/2020,0.7574
11/13/2020,0.7581
11/12/2020,0.7623
11/11/2020,0.7562
11/10/2020,0.7534
11/9/2020,0.7596
11/6/2020,0.7604
11/5/2020,0.7606
11/4/2020,0.77
11/3/2020,0.7656
11/2/2020,0.7741
10/30/2020,0.7722
10/29/2020,0.7734
10/28/2020,0.7702
10/27/2020,0.7665
10/26/2020,0.7678
10/23/2020,0.7667
10/22/2020,0.7643
10/21/2020,0.7607
10/20/2020,0.7724
10/19/2020,0.7721
10/16/2020,0.7742
10/15/2020,0.7748
10/14/2020,0.7686
10/13/2020,0.773
10/12/2020,0.7653
10/9/2020,0.7665
10/8/2020,0.7729
10/7/2020,0.774
10/6/2020,0.7765
10/5/2020,0.7705
10/2/2020,0.773
10/1/2020,0.7758
9/30/2020,0.7738
9/29/2020,0.7777
9/28/2020,0.7793
9/25/2020,0.7846
9/24/2020,0.7848
9/23/2020,0.7858
9/22/2020,0.7853
9/21/2020,0.7803
9/18/2020,0.7742
9/17/2020,0.7709
9/16/2020,0.7711
9/15/2020,0.7759
9/14/2020,0.7785
9/11/2020,0.7815
9/10/2020,0.7808
9/9/2020,0.7692
9/8/2020,0.7703
9/7/2020,0.7595
9/4/2020,0.753
9/3/2020,0.753
9/2/2020,0.749
9/1/2020,0.7472
8/31/2020,0.748
8/28/2020,0.749
8/27/2020,0.7575
8/26/2020,0.757
8/25/2020,0.7603
8/24/2020,0.7655
8/21/2020,0.7639
8/20/2020,0.7568
8/19/2020,0.7634
8/18/2020,0.7554
8/17/2020,0.7631
8/14/2020,0.7642
8/13/2020,0.7653
8/12/2020,0.7673
8/11/2020,0.7664
8/10/2020,0.765
8/7/2020,0.7662
8/6/2020,0.7609
8/5/2020,0.7625
8/4/2020,0.765
8/3/2020,0.7648
7/31/2020,0.7642
7/30/2020,0.7636
7/29/2020,0.7694
7/28/2020,0.7733
7/27/2020,0.7763
7/24/2020,0.7816
7/23/2020,0.7849
7/22/2020,0.7853
7/21/2020,0.7854
7/20/2020,0.7898
7/17/2020,0.7957
7/16/2020,0.7966
7/15/2020,0.7944
7/14/2020,0.7966
7/13/2020,0.7966
7/10/2020,0.7923
7/9/2020,0.7933
7/8/2020,0.793
7/7/2020,0.7972
7/6/2020,0.8005
7/3/2020,0.8012
7/2/2020,0.802
7/1/2020,0.8016
6/30/2020,0.8064
6/29/2020,0.8131
6/26/2020,0.8106
6/25/2020,0.8052
6/24/2020,0.8051
6/23/2020,0.7987
6/22/2020,0.802
6/19/2020,0.8098
6/18/2020,0.805
6/17/2020,0.7965
6/16/2020,0.7954
6/15/2020,0.7933
6/12/2020,0.7975
6/11/2020,0.7935
6/10/2020,0.7845
6/9/2020,0.7857
6/8/2020,0.7859
6/5/2020,0.7894
6/4/2020,0.7939
6/3/2020,0.7952
6/2/2020,0.7968
6/1/2020,0.8006
5/29/2020,0.8095
5/28/2020,0.8116
5/27/2020,0.8157
5/26/2020,0.8107
5/25/2020,0.8204
5/22/2020,0.8221
5/21/2020,0.8181
5/20/2020,0.8171
5/19/2020,0.8162
5/18/2020,0.82
5/15/2020,0.8262
5/14/2020,0.8175
5/13/2020,0.8172
5/12/2020,0.8157
5/11/2020,0.8108
5/8/2020,0.8061
5/7/2020,0.8089
5/6/2020,0.81
5/5/2020,0.8042
5/4/2020,0.8037
5/1/2020,0.8004
4/30/2020,0.794
4/29/2020,0.8019
4/28/2020,0.8049
4/27/2020,0.8045
4/24/2020,0.8087
4/23/2020,0.81
4/22/2020,0.8108
4/21/2020,0.8135
4/20/2020,0.8042
4/17/2020,0.8
4/16/2020,0.8028
4/15/2020,0.7985
4/14/2020,0.792
4/13/2020,0.7998
4/10/2020,0.8031
4/9/2020,0.8024
4/8/2020,0.8074
4/7/2020,0.8109
4/6/2020,0.8176
4/3/2020,0.8152
4/2/2020,0.8067
4/1/2020,0.8086
3/31/2020,0.8056
3/30/2020,0.8052
3/27/2020,0.8029
3/26/2020,0.8192
3/25/2020,0.8417
3/24/2020,0.8502
3/23/2020,0.8661
3/20/2020,0.8596
3/19/2020,0.8706
3/18/2020,0.8604
3/17/2020,0.8295
3/16/2020,0.8149
3/13/2020,0.8146
3/12/2020,0.7957
3/11/2020,0.7799
3/10/2020,0.7746
3/9/2020,0.7622
3/6/2020,0.7663
3/5/2020,0.772
3/4/2020,0.7768
3/3/2020,0.7805
3/2/2020,0.7841
2/28/2020,0.7801
2/27/2020,0.7761
2/26/2020,0.7751
2/25/2020,0.769
2/24/2020,0.7736
2/21/2020,0.7715
2/20/2020,0.7762
2/19/2020,0.7738
2/18/2020,0.7694
2/17/2020,0.7689
2/14/2020,0.7665
2/13/2020,0.7667
2/12/2020,0.7716
2/11/2020,0.7721
2/10/2020,0.7743
2/7/2020,0.7761
2/6/2020,0.7735
2/5/2020,0.7691
2/4/2020,0.7674
2/3/2020,0.7693
1/31/2020,0.7572
1/30/2020,0.7638
1/29/2020,0.7681
1/28/2020,0.7676
1/27/2020,0.7659
1/24/2020,0.765
1/23/2020,0.7619
1/22/2020,0.7609
1/21/2020,0.7662
1/20/2020,0.7686
1/17/2020,0.7686
1/16/2020,0.7646
1/15/2020,0.7669
1/14/2020,0.7681
1/13/2020,0.7699
1/10/2020,0.7655
1/9/2020,0.7652
1/8/2020,0.7636
1/7/2020,0.762
1/6/2020,0.7593
1/3/2020,0.7643
1/2/2020,0.7611
1/1/2020,0.7546
12/31/2019,0.7543
12/30/2019,0.7627
12/27/2019,0.7645
12/26/2019,0.7695
12/25/2019,0.7719
12/24/2019,0.7724
12/23/2019,0.7731
12/20/2019,0.7692
12/19/2019,0.7687
12/18/2019,0.7646
12/17/2019,0.7616
12/16/2019,0.7499
12/13/2019,0.7503
12/12/2019,0.7596
12/11/2019,0.7579
12/10/2019,0.7601
12/9/2019,0.7607
12/6/2019,0.761
12/5/2019,0.7601
12/4/2019,0.7631
12/3/2019,0.7695
