Date,Last Price
9/21/2021,109.26
9/20/2021,109.44
9/17/2021,109.93
9/16/2021,109.73
9/15/2021,109.38
9/14/2021,109.69
9/13/2021,109.99
9/10/2021,109.94
9/9/2021,109.72
9/8/2021,110.25
9/7/2021,110.28
9/6/2021,109.86
9/3/2021,109.71
9/2/2021,109.94
9/1/2021,110.01
8/31/2021,110.02
8/30/2021,109.92
8/27/2021,109.84
8/26/2021,110.09
8/25/2021,110.02
8/24/2021,109.65
8/23/2021,109.7
8/20/2021,109.78
8/19/2021,109.74
8/18/2021,109.77
8/17/2021,109.6
8/16/2021,109.24
8/13/2021,109.59
8/12/2021,110.41
8/11/2021,110.43
8/10/2021,110.57
8/9/2021,110.29
8/6/2021,110.25
8/5/2021,109.77
8/4/2021,109.48
8/3/2021,109.04
8/2/2021,109.31
7/30/2021,109.72
7/29/2021,109.48
7/28/2021,109.91
7/27/2021,109.78
7/26/2021,110.39
7/23/2021,110.55
7/22/2021,110.14
7/21/2021,110.29
7/20/2021,109.85
7/19/2021,109.46
7/16/2021,110.07
7/15/2021,109.83
7/14/2021,109.97
7/13/2021,110.63
7/12/2021,110.37
7/9/2021,110.14
7/8/2021,109.72
7/7/2021,110.66
7/6/2021,110.63
7/5/2021,110.97
7/2/2021,111.05
7/1/2021,111.53
6/30/2021,111.11
6/29/2021,110.53
6/28/2021,110.63
6/25/2021,110.75
6/24/2021,110.87
6/23/2021,110.96
6/22/2021,110.65
6/21/2021,110.27
6/18/2021,110.21
6/17/2021,110.21
6/16/2021,110.71
6/15/2021,110.08
6/14/2021,110.07
6/11/2021,109.66
6/10/2021,109.33
6/9/2021,109.63
6/8/2021,109.5
6/7/2021,109.25
6/4/2021,109.52
6/3/2021,110.29
6/2/2021,109.56
6/1/2021,109.48
5/31/2021,109.58
5/28/2021,109.85
5/27/2021,109.81
5/26/2021,109.15
5/25/2021,108.78
5/24/2021,108.75
5/21/2021,108.96
5/20/2021,108.78
5/19/2021,109.22
5/18/2021,108.9
5/17/2021,109.21
5/14/2021,109.35
5/13/2021,109.47
5/12/2021,109.67
5/11/2021,108.62
5/10/2021,108.81
5/7/2021,108.6
5/6/2021,109.09
5/5/2021,109.21
5/4/2021,109.33
5/3/2021,109.07
4/30/2021,109.31
4/29/2021,108.93
4/28/2021,108.6
4/27/2021,108.7
4/26/2021,108.08
4/23/2021,107.88
4/22/2021,107.97
4/21/2021,108.08
4/20/2021,108.11
4/19/2021,108.17
4/16/2021,108.8
4/15/2021,108.76
4/14/2021,108.93
4/13/2021,109.06
4/12/2021,109.38
4/9/2021,109.67
4/8/2021,109.26
4/7/2021,109.85
4/6/2021,109.75
4/5/2021,110.18
4/2/2021,110.69
4/1/2021,110.62
3/31/2021,110.72
3/30/2021,110.36
3/29/2021,109.81
3/26/2021,109.64
3/25/2021,109.19
3/24/2021,108.73
3/23/2021,108.59
3/22/2021,108.85
3/19/2021,108.88
3/18/2021,108.89
3/17/2021,108.84
3/16/2021,109
3/15/2021,109.13
3/12/2021,109.03
3/11/2021,108.51
3/10/2021,108.38
3/9/2021,108.48
3/8/2021,108.89
3/5/2021,108.31
3/4/2021,107.98
