Date,Last Price
9/17/2021,1175.3
9/16/2021,1171.75
9/15/2021,1170.45
9/14/2021,1170.8
9/13/2021,1175.95
9/10/2021,1169.1
9/9/2021,1169.35
9/8/2021,1166.55
9/7/2021,1157.75
9/6/2021,1156.5
9/3/2021,1157.05
9/2/2021,1161.45
9/1/2021,1157.3
8/31/2021,1159.45
8/30/2021,1166.75
8/27/2021,1169.1
8/26/2021,1170.45
8/25/2021,1167.55
8/24/2021,1166
8/23/2021,1173.9
8/20/2021,1179.65
8/19/2021,1176.25
8/18/2021,1168.35
8/17/2021,1176.4
8/13/2021,1168.95
8/12/2021,1161.2
8/11/2021,1156.35
8/10/2021,1149.8
8/9/2021,1144.45
8/6/2021,1142.15
8/5/2021,1143.75
8/4/2021,1143.7
8/3/2021,1148.5
8/2/2021,1151
7/30/2021,1150.25
7/29/2021,1146.45
7/28/2021,1154.5
7/27/2021,1150.2
7/26/2021,1155.1
7/23/2021,1150.8
7/22/2021,1150
7/21/2021,1153.9
7/20/2021,1150.4
7/19/2021,1147.7
7/16/2021,1140.05
7/15/2021,1141.4
7/14/2021,1148.55
7/13/2021,1145.35
7/12/2021,1146.95
7/9/2021,1148.9
7/8/2021,1144.95
7/7/2021,1138
7/6/2021,1129.75
7/5/2021,1131.8
7/2/2021,1134.85
7/1/2021,1132.9
6/30/2021,1126.15
6/29/2021,1128.8
6/28/2021,1130.1
6/25/2021,1127.75
6/24/2021,1134.75
6/23/2021,1137.65
6/22/2021,1131.8
6/21/2021,1134.6
6/18/2021,1132.1
6/17/2021,1130.35
6/16/2021,1117.05
6/15/2021,1117
6/14/2021,1116.8
6/11/2021,1111.2
6/10/2021,1115.5
6/9/2021,1115.2
6/8/2021,1114.2
6/7/2021,1112.8
6/4/2021,1116.45
6/3/2021,1113.7
6/2/2021,1113.2
6/1/2021,1106
5/31/2021,1110.65
5/28/2021,1115.4
5/27/2021,1117.95
5/26/2021,1116.9
5/25/2021,1122.05
5/24/2021,1126.9
5/21/2021,1126.85
5/20/2021,1132.15
5/18/2021,1130.2
5/17/2021,1134.8
5/14/2021,1128.75
5/13/2021,1129.2
5/12/2021,1124.65
5/11/2021,1119.65
5/10/2021,1113.75
5/7/2021,1121.3
5/6/2021,1125.75
5/4/2021,1122.65
5/3/2021,1123.85
4/30/2021,1112.4
4/29/2021,1108.35
4/28/2021,1112.9
4/27/2021,1110.4
4/26/2021,1113.2
4/23/2021,1117.7
4/22/2021,1117.4
4/21/2021,1118.5
4/20/2021,1112.35
4/19/2021,1117.3
4/16/2021,1116.5
4/15/2021,1117.65
4/14/2021,1116.6
4/13/2021,1125.95
4/12/2021,1124.9
4/9/2021,1120.95
4/8/2021,1117.4
4/7/2021,1116.15
4/6/2021,1119.7
4/5/2021,1127.6
4/2/2021,1127.5
4/1/2021,1132
3/31/2021,1131.9
3/30/2021,1133.65
3/29/2021,1131.65
3/26/2021,1129.35
3/25/2021,1133.55
3/24/2021,1133.55
3/23/2021,1129.65
3/22/2021,1128.4
3/19/2021,1131.1
3/18/2021,1123.85
3/17/2021,1130.25
3/16/2021,1129.7
3/15/2021,1136.3
3/12/2021,1133.7
3/11/2021,1135.85
3/10/2021,1142.6
3/9/2021,1140.05
3/8/2021,1133.3
3/5/2021,1125.9
3/4/2021,1125.4
3/3/2021,1120.45
3/2/2021,1123.85
2/26/2021,1123.4
2/25/2021,1108
2/24/2021,1112.15
2/23/2021,1110.5
2/22/2021,1110.2
2/19/2021,1105.85
2/18/2021,1107.65
2/17/2021,1107.6
2/16/2021,1100.05
2/15/2021,1101.5
2/10/2021,1106.85
2/9/2021,1116.55
2/8/2021,1119.65
2/5/2021,1123.8
2/4/2021,1118.55
2/3/2021,1114.9
2/2/2021,1117.45
2/1/2021,1116.2
1/29/2021,1118.75
1/28/2021,1119.65
1/27/2021,1104.4
1/26/2021,1106.45
1/25/2021,1100.8
1/22/2021,1103.15
1/21/2021,1098.25
1/20/2021,1100.2
1/19/2021,1102.9
1/18/2021,1103.95
1/15/2021,1099.45
1/14/2021,1098.05
1/13/2021,1095.25
1/12/2021,1099.95
1/11/2021,1097.2
1/8/2021,1089.7
1/7/2021,1087
1/6/2021,1085.7
1/5/2021,1087.6
1/4/2021,1081.9
12/30/2020,1086.35
12/29/2020,1092.15
12/28/2020,1096.65
12/24/2020,1102.9
12/23/2020,1107.6
12/22/2020,1107.5
12/21/2020,1102.9
12/18/2020,1099.55
12/17/2020,1093.2
12/16/2020,1093.95
12/15/2020,1093.2
12/14/2020,1091.6
12/11/2020,1090.1
12/10/2020,1087.4
12/9/2020,1084.4
12/8/2020,1085.4
12/7/2020,1081.9
12/4/2020,1082.05
12/3/2020,1096.9
12/2/2020,1100.6
12/1/2020,1106.15
11/30/2020,1106.4
11/27/2020,1103.4
11/26/2020,1104.1
11/25/2020,1108.6
11/24/2020,1112
11/23/2020,1110.4
11/20/2020,1114.15
11/19/2020,1115.25
11/18/2020,1103.9
11/17/2020,1106.55
11/16/2020,1109
11/13/2020,1115.65
11/12/2020,1114.9
11/11/2020,1109.95
11/10/2020,1115.1
11/9/2020,1113.3
11/6/2020,1120.5
11/5/2020,1128.3
11/4/2020,1137.65
11/3/2020,1134.15
11/2/2020,1133.7
10/30/2020,1135.15
10/29/2020,1131.45
10/28/2020,1130.6
10/27/2020,1125.45
10/26/2020,1127.85
10/23/2020,1132.85
10/22/2020,1132.9
10/21/2020,1131.65
10/20/2020,1139.35
10/19/2020,1142
10/16/2020,1147.4
10/15/2020,1143.25
10/14/2020,1146.9
10/13/2020,1147.1
10/12/2020,1147
10/8/2020,1153.4
10/7/2020,1158.3
10/6/2020,1161.05
10/5/2020,1163.4
9/29/2020,1169.6
9/28/2020,1173.5
9/25/2020,1172.5
9/24/2020,1172.75
9/23/2020,1164.35
9/22/2020,1165.05
9/21/2020,1158
9/18/2020,1160.45
9/17/2020,1174.4
9/16/2020,1176.05
9/15/2020,1178.95
9/14/2020,1183.6
9/11/2020,1186.9
9/10/2020,1184.9
9/9/2020,1189.1
9/8/2020,1186.45
9/7/2020,1188.25
9/4/2020,1189.65
9/3/2020,1188.25
9/2/2020,1185.55
9/1/2020,1183.1
8/31/2020,1187.85
8/28/2020,1184.4
8/27/2020,1185
8/26/2020,1186.85
8/25/2020,1185.1
8/24/2020,1189.15
8/21/2020,1186.3
8/20/2020,1187
8/19/2020,1181.35
8/18/2020,1183.7
8/14/2020,1184.6
8/13/2020,1183.3
8/12/2020,1185.15
8/11/2020,1185.65
8/10/2020,1185.7
8/7/2020,1184.75
8/6/2020,1183.6
8/5/2020,1188.75
8/4/2020,1194.05
8/3/2020,1193.35
7/31/2020,1191.15
7/30/2020,1194.4
7/29/2020,1193.1
7/28/2020,1197.05
7/27/2020,1196.15
7/24/2020,1201.45
7/23/2020,1197.4
7/22/2020,1195.1
7/21/2020,1197.75
7/20/2020,1203.3
7/17/2020,1205.05
7/16/2020,1205.5
7/15/2020,1200.55
7/14/2020,1205.75
7/13/2020,1200.65
7/10/2020,1204.45
7/9/2020,1195.7
7/8/2020,1195.45
7/7/2020,1195.75
7/6/2020,1195.75
7/3/2020,1198.65
7/2/2020,1199.95
7/1/2020,1203.35
6/30/2020,1202.9
6/29/2020,1198.7
6/26/2020,1200.7
6/25/2020,1204.7
6/24/2020,1199.5
6/23/2020,1208.8
6/22/2020,1215.85
6/19/2020,1209.65
6/18/2020,1208.2
6/17/2020,1214
6/16/2020,1207.15
6/15/2020,1216.15
6/12/2020,1203.9
6/11/2020,1196.8
6/10/2020,1191.3
6/9/2020,1197.75
6/8/2020,1204.9
6/5/2020,1207.2
6/4/2020,1218.9
6/3/2020,1216.9
6/2/2020,1225.4
6/1/2020,1225
5/29/2020,1238.35
5/28/2020,1239.55
5/27/2020,1234.35
5/26/2020,1234.3
5/25/2020,1244.13
5/22/2020,1237
5/21/2020,1230.9
5/20/2020,1230.35
5/19/2020,1225.25
5/18/2020,1232.4
5/15/2020,1231.2
5/14/2020,1227.95
5/13/2020,1223.7
5/12/2020,1224.85
5/11/2020,1220.5
5/8/2020,1219.9
5/7/2020,1224.95
5/6/2020,1222.05
5/4/2020,1229.15
4/29/2020,1218.5
4/28/2020,1225.1
4/27/2020,1226.1
4/24/2020,1235.65
4/23/2020,1229.8
4/22/2020,1232.3
4/21/2020,1229.6
4/20/2020,1220.65
4/17/2020,1217.95
4/16/2020,1228.7
4/14/2020,1217.1
4/13/2020,1217.75
4/10/2020,1208.85
4/9/2020,1219.9
4/8/2020,1221.15
4/7/2020,1221.1
4/6/2020,1229.45
4/3/2020,1231.35
4/2/2020,1228.8
4/1/2020,1230.8
3/31/2020,1218.55
3/30/2020,1224.7
3/27/2020,1211.1
3/26/2020,1233.15
3/25/2020,1229.9
3/24/2020,1249.7
3/23/2020,1266.75
3/20/2020,1248.05
3/19/2020,1285.7
3/18/2020,1245.7
3/17/2020,1243.65
3/16/2020,1226.05
3/13/2020,1219.4
3/12/2020,1206.6
3/11/2020,1193.1
3/10/2020,1193.15
3/9/2020,1204.35
3/6/2020,1192.3
3/5/2020,1181.2
3/4/2020,1187.85
3/3/2020,1195.25
3/2/2020,1193.8
2/28/2020,1214.5
2/27/2020,1217.15
2/26/2020,1216.95
2/25/2020,1210.2
2/24/2020,1220.35
2/21/2020,1209.15
2/20/2020,1198.6
2/19/2020,1189.3
2/18/2020,1189.5
2/17/2020,1183.95
2/14/2020,1183.1
2/13/2020,1182.95
2/12/2020,1179.55
2/11/2020,1181.5
2/10/2020,1187.15
2/7/2020,1186.5
2/6/2020,1179.9
2/5/2020,1191.4
2/4/2020,1187.6
2/3/2020,1194.9
1/31/2020,1191.7
1/30/2020,1185.1
1/29/2020,1177.25
1/28/2020,1176.5
1/23/2020,1168.65
1/22/2020,1164.5
1/21/2020,1167.05
1/20/2020,1158.05
1/17/2020,1159.5
1/16/2020,1161.4
1/15/2020,1156.9
1/14/2020,1156.1
1/13/2020,1156.25
1/10/2020,1161.65
1/9/2020,1159.35
1/8/2020,1170.85
1/7/2020,1166.45
1/6/2020,1172
1/3/2020,1166.9
1/2/2020,1158.1
12/30/2019,1156.25
12/27/2019,1161.4
12/26/2019,1161.95
12/24/2019,1163.8
12/23/2019,1164.35
12/20/2019,1160.2
12/19/2019,1165.7
12/18/2019,1168.9
12/17/2019,1166.15
12/16/2019,1172.25
12/13/2019,1171.65
12/12/2019,1186.9
12/11/2019,1194.65
12/10/2019,1191.45
12/9/2019,1189.9
12/6/2019,1189.9
12/5/2019,1190.35
12/4/2019,1194.55
12/3/2019,1187.05
12/2/2019,1183.1
11/29/2019,1181.45
11/28/2019,1179
11/27/2019,1177.45
11/26/2019,1176.25
11/25/2019,1176.05
11/22/2019,1178.95
11/21/2019,1178.1
11/20/2019,1170.05
11/19/2019,1167.6
11/18/2019,1164.55
11/15/2019,1166.75
11/14/2019,1169.75
11/13/2019,1167.65
11/12/2019,1160.95
11/11/2019,1166.6
11/8/2019,1157.4
11/7/2019,1159.45
11/6/2019,1156.9
11/5/2019,1157.45
11/4/2019,1159.25
11/1/2019,1165.55
10/31/2019,1163.65
10/30/2019,1168
10/29/2019,1163.1
10/28/2019,1170.7
10/25/2019,1172.9
10/24/2019,1173
10/23/2019,1172.5
10/22/2019,1170
10/21/2019,1171.95
10/18/2019,1181.45
10/17/2019,1186.95
10/16/2019,1187.9
10/15/2019,1185.3
10/14/2019,1184.95
10/11/2019,1188.9
10/10/2019,1196.1
10/8/2019,1193.2
10/7/2019,1196.6
10/4/2019,1196.6
10/2/2019,1205.9
10/1/2019,1199.15
9/30/2019,1196.25
9/27/2019,1199.95
9/26/2019,1198.8
9/25/2019,1198.85
9/24/2019,1195.7
9/23/2019,1194
9/20/2019,1188.05
9/19/2019,1193.6
9/18/2019,1191.2
9/17/2019,1190.65
9/16/2019,1183.15
9/11/2019,1190.8
9/10/2019,1193.35
9/9/2019,1193.15
9/6/2019,1196.95
9/5/2019,1200.2
9/4/2019,1208.05
9/3/2019,1215.7
9/2/2019,1210.8
8/30/2019,1211.3
8/29/2019,1216.4
8/28/2019,1214
8/27/2019,1211.1
8/26/2019,1217.75
8/23/2019,1210.65
8/22/2019,1207.4
8/21/2019,1202.4
8/20/2019,1208.25
8/19/2019,1211
8/16/2019,1211.5
8/14/2019,1212.65
8/13/2019,1222.2
8/12/2019,1216.05
8/9/2019,1210
8/8/2019,1209
8/7/2019,1214.85
8/6/2019,1215.25
8/5/2019,1214.95
8/2/2019,1197.9
8/1/2019,1188.55
7/31/2019,1183.05
7/30/2019,1181.9
7/29/2019,1183.55
7/26/2019,1185
7/25/2019,1181.45
7/24/2019,1177.9
7/23/2019,1179
7/22/2019,1178.35
7/19/2019,1174.45
7/18/2019,1178.75
7/17/2019,1181.2
7/16/2019,1177.65
7/15/2019,1179.3
7/12/2019,1178.95
7/11/2019,1173.5
7/10/2019,1181.6
7/9/2019,1180.55
7/8/2019,1181.95
7/5/2019,1170.4
7/4/2019,1168.65
7/3/2019,1171.25
7/2/2019,1166.05
7/1/2019,1158.7
6/28/2019,1154.7
6/27/2019,1158.1
6/26/2019,1156.65
6/25/2019,1156.25
6/24/2019,1156.4
6/21/2019,1163.9
6/20/2019,1161.9
6/19/2019,1176.15
6/18/2019,1185.75
6/17/2019,1186.45
6/14/2019,1185.15
6/13/2019,1182.95
6/12/2019,1182.75
6/11/2019,1180.7
6/10/2019,1185.15
6/7/2019,1181.4
6/5/2019,1178.55
6/4/2019,1182.75
6/3/2019,1182.15
5/31/2019,1190.9
5/30/2019,1188.9
5/29/2019,1194.3
5/28/2019,1186
