Date,Last Price
10/6/2021,1.551
10/5/2021,1.527
10/4/2021,1.48
10/1/2021,1.462
9/30/2021,1.488
9/29/2021,1.518
9/28/2021,1.539
9/27/2021,1.488
9/24/2021,1.453
9/23/2021,1.432
9/22/2021,1.303
9/21/2021,1.324
9/20/2021,1.312
9/17/2021,1.364
9/16/2021,1.339
9/15/2021,1.301
9/14/2021,1.285
9/13/2021,1.328
9/10/2021,1.344
9/9/2021,1.299
9/8/2021,1.339
9/7/2021,1.374
9/3/2021,1.324
9/2/2021,1.284
9/1/2021,1.295
8/31/2021,1.31
8/30/2021,1.281
8/27/2021,1.309
8/26/2021,1.351
8/25/2021,1.342
8/24/2021,1.296
8/23/2021,1.253
8/20/2021,1.256
8/19/2021,1.244
8/18/2021,1.26
8/17/2021,1.263
8/16/2021,1.267
8/13/2021,1.278
8/12/2021,1.361
8/11/2021,1.332
8/10/2021,1.351
8/9/2021,1.325
8/6/2021,1.299
8/5/2021,1.224
8/4/2021,1.184
8/3/2021,1.173
8/2/2021,1.178
7/30/2021,1.224
7/29/2021,1.27
7/28/2021,1.234
7/27/2021,1.243
7/26/2021,1.291
7/23/2021,1.278
7/22/2021,1.28
7/21/2021,1.29
7/20/2021,1.224
7/19/2021,1.19
7/16/2021,1.292
7/15/2021,1.3
7/14/2021,1.348
7/13/2021,1.417
7/12/2021,1.366
7/9/2021,1.361
7/8/2021,1.294
7/7/2021,1.317
7/6/2021,1.35
7/2/2021,1.426
7/1/2021,1.459
6/30/2021,1.469
6/29/2021,1.471
6/28/2021,1.478
6/25/2021,1.525
6/24/2021,1.493
6/23/2021,1.487
6/22/2021,1.465
6/21/2021,1.49
6/18/2021,1.44
6/17/2021,1.507
6/16/2021,1.578
6/15/2021,1.493
6/14/2021,1.496
6/11/2021,1.453
6/10/2021,1.434
6/9/2021,1.492
6/8/2021,1.536
6/7/2021,1.57
6/4/2021,1.555
6/3/2021,1.627
6/2/2021,1.588
6/1/2021,1.607
5/28/2021,1.596
5/27/2021,1.609
5/26/2021,1.577
5/25/2021,1.56
5/24/2021,1.603
5/21/2021,1.622
5/20/2021,1.627
5/19/2021,1.674
5/18/2021,1.639
5/17/2021,1.651
5/14/2021,1.63
5/13/2021,1.658
5/12/2021,1.694
5/11/2021,1.623
5/10/2021,1.603
5/7/2021,1.579
5/6/2021,1.571
5/5/2021,1.568
5/4/2021,1.593
5/3/2021,1.6
4/30/2021,1.628
4/29/2021,1.636
4/28/2021,1.61
4/27/2021,1.623
4/26/2021,1.568
4/23/2021,1.56
4/22/2021,1.54
4/21/2021,1.556
4/20/2021,1.561
4/19/2021,1.606
4/16/2021,1.582
4/15/2021,1.578
4/14/2021,1.633
4/13/2021,1.616
4/12/2021,1.668
4/9/2021,1.66
4/8/2021,1.621
