date,bitcoin buy_unscaled,bitcoin buy_monthly,isPartial,scale,bitcoin buy
2011-02-01,0,0.0,False,0.0,0.0
2011-02-02,0,0.0,,0.0,0.0
2011-02-03,0,0.0,,0.0,0.0
2011-02-04,0,0.0,,0.0,0.0
2011-02-05,0,0.0,,0.0,0.0
2011-02-06,0,0.0,,0.0,0.0
2011-02-07,0,0.0,,0.0,0.0
2011-02-08,0,0.0,,0.0,0.0
2011-02-09,0,0.0,,0.0,0.0
2011-02-10,0,0.0,,0.0,0.0
2011-02-11,0,0.0,,0.0,0.0
2011-02-12,0,0.0,,0.0,0.0
2011-02-13,0,0.0,,0.0,0.0
2011-02-14,0,0.0,,0.0,0.0
2011-02-15,0,0.0,,0.0,0.0
2011-02-16,0,0.0,,0.0,0.0
2011-02-17,0,0.0,,0.0,0.0
2011-02-18,0,0.0,,0.0,0.0
2011-02-19,0,0.0,,0.0,0.0
2011-02-20,0,0.0,,0.0,0.0
2011-02-21,0,0.0,,0.0,0.0
2011-02-22,0,0.0,,0.0,0.0
2011-02-23,100,0.0,,0.0,0.0
2011-02-24,0,0.0,,0.0,0.0
2011-02-25,0,0.0,,0.0,0.0
2011-02-26,0,0.0,,0.0,0.0
2011-02-27,0,0.0,,0.0,0.0
2011-02-28,0,0.0,,0.0,0.0
2011-04-01,0,0.0,False,0.0,0.0
2011-04-02,0,0.0,,0.0,0.0
2011-04-03,0,0.0,,0.0,0.0
2011-04-04,0,0.0,,0.0,0.0
2011-04-05,0,0.0,,0.0,0.0
2011-04-06,0,0.0,,0.0,0.0
2011-04-07,0,0.0,,0.0,0.0
2011-04-08,0,0.0,,0.0,0.0
2011-04-09,0,0.0,,0.0,0.0
2011-04-10,0,0.0,,0.0,0.0
2011-04-11,0,0.0,,0.0,0.0
2011-04-12,0,0.0,,0.0,0.0
2011-04-13,0,0.0,,0.0,0.0
2011-04-14,0,0.0,,0.0,0.0
2011-04-15,0,0.0,,0.0,0.0
2011-04-16,0,0.0,,0.0,0.0
2011-04-17,0,0.0,,0.0,0.0
2011-04-18,0,0.0,,0.0,0.0
2011-04-19,100,0.0,,0.0,0.0
2011-04-20,0,0.0,,0.0,0.0
2011-04-21,0,0.0,,0.0,0.0
2011-04-22,0,0.0,,0.0,0.0
2011-04-23,0,0.0,,0.0,0.0
2011-04-24,0,0.0,,0.0,0.0
2011-04-25,0,0.0,,0.0,0.0
2011-04-26,0,0.0,,0.0,0.0
2011-04-27,0,0.0,,0.0,0.0
2011-04-28,0,0.0,,0.0,0.0
2011-04-29,0,0.0,,0.0,0.0
2011-04-30,0,0.0,,0.0,0.0
2011-05-01,0,0.0,False,0.0,0.0
2011-05-02,0,0.0,,0.0,0.0
2011-05-03,0,0.0,,0.0,0.0
2011-05-04,0,0.0,,0.0,0.0
2011-05-05,0,0.0,,0.0,0.0
2011-05-06,0,0.0,,0.0,0.0
2011-05-07,0,0.0,,0.0,0.0
2011-05-08,0,0.0,,0.0,0.0
2011-05-09,0,0.0,,0.0,0.0
2011-05-10,0,0.0,,0.0,0.0
2011-05-11,0,0.0,,0.0,0.0
2011-05-12,0,0.0,,0.0,0.0
2011-05-13,0,0.0,,0.0,0.0
2011-05-14,0,0.0,,0.0,0.0
2011-05-15,0,0.0,,0.0,0.0
2011-05-16,0,0.0,,0.0,0.0
2011-05-17,0,0.0,,0.0,0.0
2011-05-18,0,0.0,,0.0,0.0
2011-05-19,69,0.0,,0.0,0.0
2011-05-20,0,0.0,,0.0,0.0
2011-05-21,91,0.0,,0.0,0.0
2011-05-22,0,0.0,,0.0,0.0
2011-05-23,0,0.0,,0.0,0.0
2011-05-24,0,0.0,,0.0,0.0
2011-05-25,0,0.0,,0.0,0.0
2011-05-26,0,0.0,,0.0,0.0
2011-05-27,0,0.0,,0.0,0.0
2011-05-28,0,0.0,,0.0,0.0
2011-05-29,100,0.0,,0.0,0.0
2011-05-30,0,0.0,,0.0,0.0
2011-05-31,0,0.0,,0.0,0.0
2011-06-01,0,1.0,False,0.01,0.0
2011-06-02,34,1.0,,0.01,0.34
2011-06-03,34,1.0,,0.01,0.34
2011-06-04,0,1.0,,0.01,0.0
2011-06-05,44,1.0,,0.01,0.44
2011-06-06,33,1.0,,0.01,0.33
2011-06-07,32,1.0,,0.01,0.32
2011-06-08,0,1.0,,0.01,0.0
2011-06-09,100,1.0,,0.01,1.0
2011-06-10,0,1.0,,0.01,0.0
2011-06-11,44,1.0,,0.01,0.44
2011-06-12,44,1.0,,0.01,0.44
2011-06-13,67,1.0,,0.01,0.67
2011-06-14,33,1.0,,0.01,0.33
2011-06-15,67,1.0,,0.01,0.67
2011-06-16,0,1.0,,0.01,0.0
2011-06-17,0,1.0,,0.01,0.0
2011-06-18,44,1.0,,0.01,0.44
2011-06-19,46,1.0,,0.01,0.46
2011-06-20,65,1.0,,0.01,0.65
2011-06-21,0,1.0,,0.01,0.0
2011-06-22,0,1.0,,0.01,0.0
2011-06-23,0,1.0,,0.01,0.0
2011-06-24,35,1.0,,0.01,0.35000000000000003
2011-06-25,0,1.0,,0.01,0.0
2011-06-26,0,1.0,,0.01,0.0
2011-06-27,33,1.0,,0.01,0.33
2011-06-28,0,1.0,,0.01,0.0
