date,bitcoin sell_unscaled,bitcoin sell_monthly,isPartial,scale,bitcoin sell
2011-04-01,0,0.0,False,0.0,0.0
2011-04-02,0,0.0,,0.0,0.0
2011-04-03,0,0.0,,0.0,0.0
2011-04-04,0,0.0,,0.0,0.0
2011-04-05,0,0.0,,0.0,0.0
2011-04-06,0,0.0,,0.0,0.0
2011-04-07,0,0.0,,0.0,0.0
2011-04-08,0,0.0,,0.0,0.0
2011-04-09,0,0.0,,0.0,0.0
2011-04-10,0,0.0,,0.0,0.0
2011-04-11,0,0.0,,0.0,0.0
2011-04-12,0,0.0,,0.0,0.0
2011-04-13,0,0.0,,0.0,0.0
2011-04-14,0,0.0,,0.0,0.0
2011-04-15,0,0.0,,0.0,0.0
2011-04-16,0,0.0,,0.0,0.0
2011-04-17,0,0.0,,0.0,0.0
2011-04-18,0,0.0,,0.0,0.0
2011-04-19,0,0.0,,0.0,0.0
2011-04-20,0,0.0,,0.0,0.0
2011-04-21,0,0.0,,0.0,0.0
2011-04-22,0,0.0,,0.0,0.0
2011-04-23,0,0.0,,0.0,0.0
2011-04-24,0,0.0,,0.0,0.0
2011-04-25,100,0.0,,0.0,0.0
2011-04-26,0,0.0,,0.0,0.0
2011-04-27,0,0.0,,0.0,0.0
2011-04-28,0,0.0,,0.0,0.0
2011-04-29,0,0.0,,0.0,0.0
2011-04-30,0,0.0,,0.0,0.0
2011-06-01,0,1.0,False,0.01,0.0
2011-06-02,0,1.0,,0.01,0.0
2011-06-03,0,1.0,,0.01,0.0
2011-06-04,0,1.0,,0.01,0.0
2011-06-05,100,1.0,,0.01,1.0
2011-06-06,0,1.0,,0.01,0.0
2011-06-07,0,1.0,,0.01,0.0
2011-06-08,0,1.0,,0.01,0.0
2011-06-09,74,1.0,,0.01,0.74
2011-06-10,0,1.0,,0.01,0.0
2011-06-11,0,1.0,,0.01,0.0
2011-06-12,100,1.0,,0.01,1.0
2011-06-13,0,1.0,,0.01,0.0
2011-06-14,73,1.0,,0.01,0.73
2011-06-15,0,1.0,,0.01,0.0
2011-06-16,0,1.0,,0.01,0.0
2011-06-17,0,1.0,,0.01,0.0
2011-06-18,0,1.0,,0.01,0.0
2011-06-19,0,1.0,,0.01,0.0
2011-06-20,72,1.0,,0.01,0.72
2011-06-21,0,1.0,,0.01,0.0
2011-06-22,73,1.0,,0.01,0.73
2011-06-23,0,1.0,,0.01,0.0
2011-06-24,0,1.0,,0.01,0.0
2011-06-25,0,1.0,,0.01,0.0
2011-06-26,0,1.0,,0.01,0.0
2011-06-27,0,1.0,,0.01,0.0
2011-06-28,0,1.0,,0.01,0.0
2011-06-29,0,1.0,,0.01,0.0
2011-06-30,0,1.0,,0.01,0.0
2011-07-01,0,0.0,False,0.0,0.0
2011-07-02,0,0.0,,0.0,0.0
2011-07-03,0,0.0,,0.0,0.0
2011-07-04,100,0.0,,0.0,0.0
2011-07-05,0,0.0,,0.0,0.0
2011-07-06,0,0.0,,0.0,0.0
2011-07-07,74,0.0,,0.0,0.0
2011-07-08,0,0.0,,0.0,0.0
2011-07-09,0,0.0,,0.0,0.0
2011-07-10,0,0.0,,0.0,0.0
2011-07-11,0,0.0,,0.0,0.0
2011-07-12,0,0.0,,0.0,0.0
2011-07-13,0,0.0,,0.0,0.0
2011-07-14,0,0.0,,0.0,0.0
2011-07-15,0,0.0,,0.0,0.0
2011-07-16,0,0.0,,0.0,0.0
2011-07-17,0,0.0,,0.0,0.0
2011-07-18,73,0.0,,0.0,0.0
2011-07-19,0,0.0,,0.0,0.0
2011-07-20,0,0.0,,0.0,0.0
2011-07-21,0,0.0,,0.0,0.0
2011-07-22,0,0.0,,0.0,0.0
